"japanese","chinese","romaji","gender"
"テレサ・テン","邓丽君","Teresa Teng",""
"金容植","金容植","Kim Yong-sik",""
"髙橋海人","高桥海人","Kaito Takahashi",""
"対華21カ条要求","二十一条","Twenty-One Demands",""
"伊達倫央","伊达伦央","Michihisa Date",""
"加藤元浩","加藤元浩","Motohiro Katou",""
"又吉直樹","又吉直树","Naoki Matayoshi",""
"古賀正紘","古贺正纮","Masahiro Koga",""
"吹越満","吹越满","Mitsuru Fukikoshi",""
"大谷吉継","大谷吉继","Ōtani Yoshitsugu",""
"守屋茜","守屋茜","Akane Moriya",""
"小磯内閣","小矶内阁","Koiso cabinet",""
"山田涼介","山田凉介","Ryosuke Yamada",""
"川崎逸朗","川崎逸朗","Itsuro Kawasaki",""
"川端康成","川端康成","Yasunari Kawabata",""
"弥永和子","弥永和子","Kazuko Yanaga",""
"志茂文彦","志茂文彦","Fumihiko Shimo",""
"本郷功次郎","本乡功次郎","Kojiro Hongo",""
"松本洋平","松本洋平","Yohei Matsumoto",""
"森下仁志","森下仁志","Hitoshi Morishita (footballer, born 1972)",""
"樋口時彦","樋口时彦","Tokihiko Higuchi",""
"江口洋介","江口洋介","Yōsuke Eguchi",""
"相馬崇人","相马崇人","Takahito Soma",""
"福田赳夫","福田赳夫","Takeo Fukuda",""
"谷中治","谷中治","Osamu Taninaka",""
"須藤元気","须藤元气","Genki Sudo",""
"麻丘めぐみ","麻丘惠美","Megumi Asaoka",""
"伊藤整","伊藤整","Sei Itō",""
"佐々木博和","佐佐木博和","Hirokazu Sasaki",""
"内田直哉","内田直哉","Naoya Uchida",""
"内田達也","内田达也","Tatsuya Uchida",""
"国木田独歩","国木田独步","Doppo Kunikida",""
"増田忠俊","增田忠俊","Tadatoshi Masuda",""
"天皇","天皇","Emperor of Japan",""
"寺内健","寺内健","Ken Terauchi",""
"山本梓","山本梓","Azusa Yamamoto",""
"岡本麻弥","冈本麻弥","Maya Okamoto",""
"岡田有希子","冈田有希子","Yukiko Okada",""
"東京事変","东京事变","Tokyo Jihen",""
"板垣信方","板垣信方","Itagaki Nobukata",""
"横山めぐみ","横山惠","Megumi Yokoyama (actress)",""
"武田信繁","武田信繁","Takeda Nobushige",""
"田村ゆかり","田村由香里","Yukari Tamura",""
"秋葉忠宏","秋叶忠宏","Tadahiro Akiba",""
"種田孝一","种田孝一","Koichi Oita",""
"自由党 (日本 1950-1955)","自由党 (日本1950年)","Liberal Party (Japan, 1950)",""
"荒木貞夫","荒木贞夫","Sadao Araki",""
"菊池風磨","菊池风磨","Fuma Kikuchi",""
"西脇美智子","西脇美智子","Michiko Nishiwaki",""
"遠藤章 (農芸化学者)","远藤章","Akira Endo (biochemist)",""
"一ノ関史郎","一之关史郎","Shiro Ichinoseki",""
"中川晃教","中川晃教","Akinori Nakagawa",""
"久生十蘭","久生十兰","Juran Hisao",""
"久留島武彦","久留岛武彦","Kurushima Takehiko",""
"今森茉耶","今森茉耶","Maya Imamori",""
"加納昌弘","加纳昌弘","Masahiro Kano",""
