"korean","chinese","english","gender"
"대한민국 제14대 국회의원 선거","1992年大韩民国国会选举","1992 South Korean legislative election",""
"건일","健一","Park Geon-il",""
"길해연","吉海妍","Gil Hae-yeon",""
"오지연","吴季妍","",""
"손아섭","孙儿叶","Son Ah-seop",""
"안우진","安佑镇","",""
"송기인","宋基寅","",""
"최윤 (소설가)","崔允 (1953年)","Choe Yun",""
"최애영","崔爱英","Choi Aei-young",""
"서지혜 (1984년)","徐智慧 (1984年)","Seo Ji-hye",""
"서정진 (축구 선수)","徐订晋","Seo Jung-jin (footballer)",""
"규빈","朴珪斌","Gyubin",""
"박진수 (축구인)","朴镇琇","Park Jin-soo",""
"이병훈 (연출가)","李丙勋","Lee Byung-hoon",""
"이윤지","李允智","Lee Yoon-ji",""
"이대휘","李大辉","Lee Dae-hwi",""
"양세형","梁世炯","Yang Se-hyung",""
"양의지","梁义智","Yang Eui-ji",""
"양영자","梁英子","Yang Young-ja",""
"양우조","杨宇朝","",""
"홍섬","洪暹","",""
"현대 유니콘스","现代独角兽","Hyundai Unicorns",""
"신규식","申圭植","Sin Kyusik",""
"신슬기","申瑟琪","Shin Seul-ki",""
"익선관","翼善冠","",""
"슈화","叶舒华","Shuhua",""
"배경훈 (1976년)","裴庆勋","Bae Kyung-hoon",""
"허찬 (1995년)","许灿","",""
"청하 (가수)","请夏","Chung Ha",""
"정유경 (작가)","郑有庆","Jung Yoo-kyung",""
"정인지 (배우)","郑仁知","",""
"정철원","郑哲元","Jeong Cheol-won",""
"클론 (음악 그룹)","酷龙","Clon (duo)",""
"김이준","金伊俊","",""
"김가은 (배드민턴 선수)","金佳恩 (羽毛球运动员)","Kim Ga-eun (badminton)",""
"김진호 (가수)","金振浩","Kim Jin-ho (singer)",""
"김시현 (야구 선수)","金施炫","",""
"김지은 (1993년)","金智恩 (演员)","Kim Ji-eun",""
"김민 (1999년)","金珉","",""
"김미수","金美秀","Kim Mi-soo",""
"김영옥 (농구 선수)","金英玉 (篮球运动员)","Kim Yeong-ok",""
"대한민국 검찰총장","韩国检察总长","Prosecutor General of South Korea",""
"노회찬","鲁会灿","Roh Hoe-chan",""
"황동혁","黄东赫","Hwang Dong-hyuk",""
"대한민국 제4대 국회의원 선거","1958年大韩民国国会选举","1958 South Korean legislative election",""
"뮤직케이 엔터테인먼트","Music K娱乐","",""
"유상빈","刘祥斌","",""
"화완옹주","和缓翁主","Princess Hwawan",""
"연우 (배우)","妍雨","Yeonwoo",""
"강은혜","姜恩惠 (手球运动员)","Kang Eun-hye",""
"손연재","孙延在","Son Yeon-jae",""
"손석구","孙锡求","Son Suk-ku",""
"우주소녀의 음반 외 활동 목록","宇宙少女影视作品列表","",""
"윤선우","尹善友","Yoon Sun-woo",""
"윤증","尹拯","Yun Jeung",""
"윤영미 (작가)","尹英美","",""
"윤현민","尹贤旻","Yoon Hyun-min",""
"최은숙 (펜싱 선수)","崔恩淑","Choi Eun-sook",""
"연제욱","延济旭","",""
"충청북도지사","忠清北道知事","Governor of North Chungcheong Province",""
"공신부인","恭慎夫人","",""
"문재인","文在寅","Moon Jae-in",""
"철종 (조선)","朝鲜哲宗","Cheoljong of Joseon",""
"순조","朝鲜纯祖","Sunjo of Joseon",""
"PH-1 (래퍼)","朴俊元","PH-1 (rapper)",""
"박지선","朴智宣","Park Ji-sun",""
"박정우 (1996년생 배우)","朴柾佑","Park Jung-woo (actor)",""
"박미선","朴美善","Park Mi-sun",""
"박현진 (음악가)","朴贤镇","",""
"이명진","李命进","Lee Myung-jin",""
"이필모","李必模","Lee Pil-mo",""
"이승협","李承协","Lee Seung-hyub",""
"이상직","李相稷","",""
"이현 (1983년)","李贤 (韩国歌手)","Lee Hyun",""
"임성재","林成宰","Im Seong-jae (actor)",""
"홍익표 (1967년)","洪翼杓","Hong Ihk-pyo",""
"허윤진","许允真","Huh Yunjin",""
"허정도","许正道","",""
"우영 (가수)","郑友荣","",""
"정다빈 (2000년)","郑多彬 (2000年)","Jung Da-bin (actress, born 2000)",""
"김원희","金元嬉","Kim Won-hee",""
"김광선 (권투 선수)","金光善","Kim Kwang-sun",""
"김호정 (1968년)","金好贞","Kim Ho-jung",""
"김동영 (배우)","金东英","Kim Dong-young (actor)",""
"김민상 (1968년)","金珉赏","",""
"김미애 (1969년)","金美爱","Kim Mi-ae",""
"김미향","金美香","Kim Mee-hyang",""
"가을로 가는 기차","开往秋天的列车","A Train To Autumn",""
"황희찬","黄喜灿","Hwang Hee-chan",""
"143엔터테인먼트","143娱乐","",""
"LG생활건강","LG生活健康","LG H&H",""
"롯데호텔","乐天大酒店","Lotte Hotels & Resorts",""
"손석희","孙石熙","Sohn Suk-hee",""
"안창림","安昌林","An Chang-rim",""
"형섭","安炯燮","",""
"송영길 (정치인)","宋永吉","Song Young-gil",""
"윤지임","尹之任","",""
"윤선도","尹善道","Yun Sŏndo",""
"최윤영 (1986년)","崔允英","Choi Yoon-young",""
"최예빈","崔艺斌","Choi Ye-bin",""
"염수정","廉洙政","Andrew Yeom Soo-jung",""
"장슬기 (축구 선수)","张瑟琪","Jang Sel-gi",""
"문동주 (야구 선수)","文东珠","Moon Dong-ju",""
"신인왕 방탄소년단 - 채널방탄","新人王：防弹少年团—Channel 防弹","",""
"조희봉","曹熙奉","Jo Hee-bong",""
"정유지","有智","",""
"박원종","朴元宗","Pak Wŏnjong",""
"박일갑","朴日甲","Park Il-kap",""
"샤를 르 장드르","李仙得","Charles Le Gendre",""
"의민태자","李垠","Yi Un",""
"이은철","李垠澈","Lee Eun-chul",""
"이은경 (1997년생 양궁 선수)","李恩京","Lee Eun-gyeong (archer)",""
"이준환 (쇼트트랙 선수)","李浚焕","Lee Jun-hwan",""
"익조","李行里","Yi Haengni",""
"이탁 (조선)","李铎 (朝鲜)","",""
"임규태","林圭泰","Im Kyu-tae",""
"양미경","梁美京","Yang Mi-kyung",""
"리키 (2004년)","沈泉锐","Ricky (Chinese singer)",""
"홍성우 (1938년)","洪性宇 (1938年)","",""
"신성철","申成澈","Shin Sung-chul",""
"조태관","赵泰宽","Jasper Cho",""
"진호 (1992년)","赵珍虎","Jinho",""
"신정훈","辛正勋","Shin Jeong-hoon",""
"정예린 (유도 선수)","郑叡璘","Jung Ye-rin (judoka)",""
"정대현 (1978년)","郑大炫","Chong Tae-hyon",""
"정상철 (배우)","郑祥铁","",""
"김이나","金伊娜","Kim Eana",""
"김대중 납치 사건","金大中绑架事件","Kidnapping of Kim Dae-jung",""
"김인식 (1947년)","金寅植","Kim In-sik",""
"김응우","金膺禹","Kim Ŭngu",""
"한지완","韩智婉","Han Ji-wan",""
"고주원","高周元","Go Joo-won",""
"고윤정","高胤祯","Go Youn-jung",""
"틀:전라남도지사","Template:全罗南道知事","",""
"EXO의 수상 및 후보 목록","EXO获奖与提名列表","List of awards and nominations received by Exo",""
"오주원","吴周原","Oh Ju-won",""
"여우길","吕祐吉","Yeo U-gil",""
"내사랑 누굴까","好想谈恋爱 (韩国电视剧)","",""
"강세황","姜世晃","Kang Sehwang",""
"최수민 (핸드볼 선수)","崔秀敏","Choi Su-min",""
"최영일 (축구인)","崔英一","Choi Young-il",""
"최석정","崔锡鼎","Choi Seok-jeong",""
"장도영","张都暎","Chang Do-yong",""
"서다현","徐多贤","Seo Da-hyun",""
"서재필","徐载弼","Philip Jaisohn",""
"내 아내의 모든 것","我妻子的一切","All About My Wife",""
"문진석","文振硕","",""
"명계남","明桂南","",""
"조재진","曹宰榛","Cho Jae-jin",""
"박대출","朴大出","",""
"박주형 (배우)","朴柱亨","",""
"이훈 (배우)","李勋 (演员)","Lee Hoon (actor)",""
"이재정 (1974년)","李在汀","Lee Jae-jung",""
"이덕화","李德华","Lee Deok-hwa",""
"이청연","李清渊","",""
"이석 (배우)","李石 (演员)","",""
"이서환","李誓环","Lee Seo-hwan",""
"권영세 (1959년)","权宁世","Kwon Young-se",""
"권화운","权华夽","Kwon Hwa-woon",""
"지영수","池英洙","",""
"신봉선","申奉仙","Shin Bong-sun",""
"백남운","白南云","Paek Nam-un",""
"우희진","禹喜珍","Woo Hee-jin",""
"의원군 (1661년)","义原君","",""
"곽빈","郭彬","Gwak Been",""
"정형돈","郑亨敦","Jung Hyung-don",""
"정훈 (야구인)","郑勋 (棒球运动员)","",""
"정라엘","郑拉尔","",""
"김민경 (희극인)","金敏璟","",""
"김시은 (1999년)","金施恩 (1999年)","Kim Si-eun (actress, born 1999)",""
"김정숙 (문재인의 부인)","金正淑 (韩国)","Kim Jung-sook",""
"김영호 (배우)","金英浩","Kim Young-ho (actor)",""
"전주원 (농구인)","钱周媛","Chun Joo-weon",""
"틀:우주소녀","Template:宇宙少女","Template:WJSN",""
"데이드림 (음악 그룹)","Daydream (男子组合)","",""
"해시태그 (음악 그룹)","Hashtag (女子团体)","HashTag (group)",""
"착하지 않은 여자들","不善良的女人们","Unkind Ladies",""
"데니스 오","丹尼斯·吴","Dennis Oh",""
"전설 (음반)","传说 (Jannabi专辑)","Legend (Jannabi album)",""
"전지수","全志秀","Jeon Ji-soo",""
"주원","周元 (韩国)","Joo Won",""
"재희","在喜","Jae Hee",""
"오타니 료헤이","大谷亮平","Ryohei Otani",""
"강민혁 (배드민턴 선수)","姜珉赫","Kang Min-hyuk (badminton)",""
"공덕귀","孔德贵","Gong Deok-gwi",""
"효령대군","孝宁大君","Grand Prince Hyoryŏng",""
"송옥주","宋玉珠","Song Ok-joo",""
"윤채경","尹彩暻","Yoon Chae-kyung",""
"숭선군","崇善君","",""
"최충식","崔忠植","Choi Chung-sik",""
"최성준 (1983년)","崔星俊","",""
"최현주 (양궁 선수)","崔玄姝","Choi Hyeon-ju",""
"서승재","徐承宰","Seo Seung-jae",""
"주우재","朱宇宰","Joo Woo-jae",""
"박강현","朴刚贤","Kang-hyun Park",""
"박사모","朴思慕","",""
"이정수 (쇼트트랙 선수)","李政洙","Lee Jung-su",""
"이미연 (배우)","李美妍","Lee Mi-yeon",""
"이종원 (배우)","李钟原","Lee Jong-won",""
"류준열","柳俊烈","Ryu Jun-yeol",""
"권상하","权尚夏","Gwon Sang-ha",""
"지동원","池东沅","Ji Dong-won",""
"현쥬니","玄朱妮","Hyun Jyu-ni",""
"신원식 (1958년)","申源湜","Shin Won-sik",""
"신지아 (음악인)","申知儿","Zia Hyunsu Shin",""
"소주연","苏珠妍","So Joo-yeon",""
"허영란","许英兰","",""
"조성하 (배우)","赵成夏","Jo Sung-ha",""
"차주완","车柱完","Cha Joo-wan",""
"정재원 (스피드스케이팅 선수)","郑在源","Chung Jae-won",""
"정이서","郑伊瑞","Jung Yi-seo",""
"정혁 (모델)","郑赫","",""
"김태진 (1995년)","金太珍","",""
"김애경","金爱敬","",""
"김병현","金炳贤","Byung-hyun Kim",""
"김아영 (1994년)","金雅永","Kim Ah-young",""
"한현숙","韩玄淑","Han Hyun-sook",""
"어기구","鱼基龟","",""
"틀:대한제국의 황제","Template:大韩帝国皇帝","",""
"틀:소녀시대","Template:少女时代","Template:Girls' Generation",""
"2018년 제1차 남북정상회담","2018年4月南北韩高峰会","April 2018 inter-Korean summit",""
"플레디스 엔터테인먼트","PLEDIS娱乐","Pledis Entertainment",""
"싸인 (드라마)","Sign (韩国电视剧)","Sign (TV series)",""
"정상은","丁祥恩","Jeong Sang-eun",""
"원우영","元禹宁","Won Woo-young",""
"유재명","刘宰明","Yoo Jae-myung",""
"천만리","千万里","",""
"길용우","吉用祐","Kil Yong-woo",""
"오하영 (가수)","吴夏荣","Oh Ha-young",""
"태현 (가수)","太显","Taehyun (singer)",""
"송혜교","宋慧乔","Song Hye-kyo",""
"송영무","宋永武","Song Young-moo",""
"최유화","崔有华","Choi Yu-hwa",""
"버논 (가수)","崔瀚率","Vernon (rapper)",""
"강준현","康准铉","",""
"강우석","康祐硕","Kang Woo-suk",""
"장혜진 (양궁 선수)","张惠珍","Chang Hye-jin",""
"대한민국 대통령비서실장","总统秘书室长","Chief of Staff to the President (South Korea)",""
"박지원 (1942년)","朴智元 (政治人物)","Park Jie-won",""
"박정아 (배구 선수)","朴正娥","Park Jeong-ah (volleyball)",""
"박정은 (1977년)","朴正恩","Park Jung-eun",""
"박경","朴经","Park Kyung",""
"박영석","朴英硕","Park Young-seok",""
"이태곤 (배우)","李太坤","Lee Tae-gon",""
"이혜숙","李惠淑","Lee Hye-sook",""
"이수현 (연출가)","李秀贤 (导演)","",""
"전인수","田仁秀","Chun In-soo",""
"신민재 (야구 선수)","申珉哉","Shin Min-jae",""
"노태현","卢太铉","Roh Tae-hyun",""
"나상호","罗相浩","Na Sang-ho",""
"조인성 (배우)","赵寅成","Zo In-sung",""
"조인영","赵寅永","",""
"수빈 (1999년)","郑秀彬 (歌手)","",""
"김신 (군인)","金信","Kim Shin (general)",""
"김신영 (배드민턴 선수)","金信英 (羽毛球运动员)","Kim Shin-young (badminton)",""
"김성민 (배우)","金成珉","Kim Sung-min (actor)",""
"김민석 (정치인)","金民锡","Kim Min-seok (politician)",""
"한서진 (2008년)","韩抒缜","",""
"한지훈","韩智勋","",""
"투모로우바이투게더의 수상 및 후보 목록","TXT获奖及提名列表","",""
"더 로즈 (대한민국의 음악 그룹)","The Rose (乐团)","The Rose (band)",""
"남기애","南基爱","Nam Gi-ae",""
"오범석","吴范锡","Oh Beom-seok",""
"기보배","奇甫倍","Ki Bo-bae",""
"윤복인","尹福仁","Yoon Bok-in",""
"최정윤","崔贞允","Choi Jung-yoon",""
"경선군","庆善君","",""
"연평도 포격전","延坪岛炮战","2010 Yeonpyeongdo bombardment",""
"장성호 (야구인)","张盛好","Jang Sung-ho (baseball)",""
"서욱","徐旭 (1963年)","Suh Wook",""
"쾌도 홍길동","快刀洪吉童","Hong Gil-dong (TV series)",""
"방시혁","房时爀","Bang Si-hyuk",""
"문근영","文瑾莹","Moon Geun-young",""
"방은희","方银姬","Bang Eun-hee",""
"이병기 (1947년)","李丙琪","",""
"반기문","潘基文","Ban Ki-moon",""
"왕과 비","王与妃","The King and the Queen",""
"백성동","白星东","Baek Sung-dong",""
"복성군","福城君","",""
"곽동한","郭同韩","Gwak Dong-han",""
"정의화","郑义和","Chung Ui-hwa",""
"김강현","金康铉","",""
"김응선","金应善","",""
"김주영 (1987년)","金株英","",""
"김민재 (1996년생 축구 선수)","金玟哉","Kim Min-jae (footballer)",""
"육영수","陆英修","Yuk Young-soo",""
"틀:DSP 미디어","Template:DSP媒体","Template:DSP Media",""
"원밀리언 댄스 스튜디오","100万舞蹈工作室","",""
"2025년 서울서부지방법원 습격","2025年首尔西部地方法院袭击事件","2025 Seoul Western District Court riot",""
"NCT의 수상 및 후보 목록","NCT获奖与提名列表","List of awards and nominations received by NCT",""
"세븐틴 (음악 그룹)","SEVENTEEN (组合)","Seventeen (South Korean band)",""
"이영 (1992년)","俐英","E-Young",""
"유하준","刘河俊","",""
"노재헌","卢载宪","",""
"오광록","吴光禄","Oh Kwang-rok",""
"강애심","姜爱心","Kang Ae-shim",""
"신주연","姜秀珍","",""
"손주영","孙周永","",""
"안재형","安宰亨","Ahn Jae-hyung",""
"윤대경","尹台卿","",""
"최민정","崔玟桢","Choi Min-jeong",""
"정소민","庭沼珉","Jung So-min",""
"박선영 (방송인)","朴善英 (新闻主播)","",""
"박선호 (배우)","朴宣浩","Park Sun-ho",""
"박현주 (작가)","朴贤珠","",""
"이태영","李兑荣","Lee Tai-young",""
"이주호 (수영 선수)","李周浩 (游泳运动员)","Lee Ju-ho (swimmer)",""
"이몽학","李梦鹤","",""
"이건 (대한제국 황족)","李键 (贵族)","Yi Geon",""
"계응상","桂应祥","Kye Ung-sang",""
"백지영","白智荣","Baek Ji-young",""
"백지헌","白知宪","",""
"추경호","秋庆镐","Choo Kyung-ho",""
"적도의 남자","赤道的男人","Man from the Equator",""
"조윤정 (양궁 선수)","赵允顶","Cho Youn-jeong",""
"정성룡","郑成龙","Jung Sung-ryong",""
"도한세","都韩势","Do Han-se",""
"정대영 (배구 선수)","郑大永","Jung Dae-young",""
"김보름","金宝凛 (竞速滑冰运动员)","Kim Bo-reum",""
"김채화","金彩华","Kim Chae-hwa",""
"김효민 (배드민턴 선수)","金效旻","Kim Hyo-min",""
"김성현 (배우)","金晟炫","",""
"김영철 (희극인)","金荣澈","Kim Young-chul (comedian)",""
"진혁 (연출가)","陈赫 (导演)","Jin Hyuk",""
"12·12 군사 반란","双十二政变","1979 South Korean coup d'état",""
"김설현","雪炫","Kim Seol-hyun",""
"한반도 대운하","韩半岛大运河","Grand Korean Waterway",""
"재벌","韩国财阀","Chaebol",""
"황인영","黄仁英","Hwang In-young",""
"황우여","黄祐吕","Hwang Woo-yea",""
"C9 엔터테인먼트","C9娱乐","C9 Entertainment",""
"위르겐 힌츠페터","于尔根·辛兹彼得","Jürgen Hinzpeter",""
"다영","多荣","Dayoung",""
"찬희","姜澯熙","Kang Chan-hee",""
"강래연","姜莱燕","Kang Rae-yeon",""
"손영희","孙英熙","Son Young-hee",""
"안선영","安善英","",""
"송병준","宋秉畯","Song Pyŏngjun",""
"윤주희","尹周熙","Yoon Joo-hee",""
"윤예주","尹芮珠","",""
"최종환 (배우)","崔钟焕","Choi Jong-hwan",""
"강남 (가수)","康男","Kangnam (singer)",""
"장지원 (태권도 선수)","张知媛","Jang Ji-won",""
"장혜옥","张惠玉","Jang Hye-ock",""
"서동민","徐东闷","",""
"충청남도지사","忠清南道知事","Governor of South Chungcheong Province",""
"그때 그사람들","总统致命一击","The President's Last Bang",""
"새정치국민회의","新政治国民会议","National Congress for New Politics",""
"주진우 (배우)","朱抮玗","",""
"박희준 (가라테 선수)","朴喜俊","Park Hee-jun (karateka)",""
"박중훈","朴重勋","Park Joong-hoon",""
"이상재","李商在","",""
"이정섭 (연출가)","李政燮","",""
"이재록","李载禄","Jaerock Lee",""
"홍석","梁洪硕","Hongseok",""
"권준 (조선 중기)","权俊","",""
"하정우","河正宇","Ha Jung-woo",""
"안나 (2005년)","田中杏奈","Anna Tanaka",""
"전혜진 (1976년)","田慧振","Jeon Hye-jin (actress, born 1976)",""
"홍경","红炅","Hong Kyung",""
"동현배","董贤培","",""
"배지환 (1999년)","裴智桓","Ji-hwan Bae",""
"허적","许积","Hŏ Chŏk",""
"정은주 (쇼트트랙 선수)","郑恩朱","Jung Eun-ju",""
"김사희","金史熙","",""
"김규빈","金奎彬","",""
"김광현 (야구 선수)","金广铉","Kwang-hyun Kim",""
"패티 김","金惠子 (歌手)","Patti Kim (singer)",""
"김성정","金成正","",""
"김명욱","金明旭","",""
"김지운 (작가)","金芝云","",""
"김현중","金贤重","Kim Hyun-joong",""
"방탄소년단의 음반 외 활동 목록","防弹少年团影视作品列表","BTS videography",""
"영규","灵圭","Yeonggyu",""
"고나연","高娜妍","",""
"인평대군","麟坪大君","Grand Prince Inp'yŏng",""
"틀:LG그룹","Template:LG集团","Template:LG Corporation",""
"2011년 서울특별시장 보궐선거","2011年首尔市长补选","2011 Seoul mayoral by-election",""
"Break Down (음반)","Break Down (专辑)","Break Down (album)",""
"제이워크","J-Walk (韩国组合)","J-Walk",""
"킹콩 by 스타쉽","King Kong by STARSHIP娱乐","King Kong by Starship",""
"민니 (가수)","Minnie (歌手)","Minnie (singer)",""
"인목왕후","仁穆王后","Queen Inmok",""
"유현목","俞贤穆","Yu Hyun-mok",""
"오연수","吴娟受","Oh Yeon-soo",""
"강인권","姜仁权","",""
"강성연","姜成妍","Kang Sung-yeon",""
"강민 (프로게이머)","姜旼","Nal rA",""
"송하영","宋河英","",""
"장세현","张世铉","",""
"장기용 (1992년)","张基龙","Jang Ki-yong",""
"서경덕","徐敬德","Sŏ Kyŏngdŏk",""
"수진 (가수)","徐穗珍","Soojin",""
"승한","承汉","Seunghan",""
"라디보예 마니치","拉迪沃耶·马尼奇","Radivoje Manić",""
"박상학","朴相学","Park Sang-hak",""
"박장순","朴章洵","Park Jang-soon",""
"이원종 (1966년)","李原种","Lee Won-jong",""
"이준 (배우)","李准 (歌手)","Lee Joon",""
"이상헌 (1954년)","李相宪","",""
"이병원","李秉源","",""
"양뢰성","杨礼圣","Yang Roy-sung",""
"임애지","林爱智","Im Ae-ji",""
"심연원","沈连源","",""
"신수연","申秀妍","Shin Soo-yeon",""
"백일섭","白一燮","Baek Il-seob",""
"백수찬","白秀灿","",""
"노성일","卢圣一","",""
"조한창","赵汉畅","Cho Hanchang",""
"그래도 좋아!","还是喜欢你","",""
"곽태휘","郭泰辉","Kwak Tae-hwi",""
"김가영 (1991년)","金佳英","Kim Ga-young (actress)",""
"김종길","金宗吉","Kim Jong-gil",""
"김혜정 (배드민턴 선수)","金慧贞","Kim Hye-jeong",""
"소희 (1999년)","金昭喜","Kim So-hee (singer, born 1999)",""
"김성오","金盛吴","Kim Sung-oh",""
"김한슬","金韩璱","",""
"조슈 리키","长州力","Riki Choshu",""
"민승호","闵升镐","",""
"대한민국 제6대 대통령 선거","1967年大韩民国总统选举","1967 South Korean presidential election",""
"B.A.P의 수상 목록","B.A.P获奖与提名列表","List of awards and nominations received by B.A.P",""
"린아","上美Lina","Lina (entertainer)",""
"알렉산더 (가수)","亚历山大 (歌手)","Alexander Lee (entertainer)",""
"원호 (조선)","元昊 (朝鲜)","",""
"전웅태","全雄太","Jun Woong-tae",""
"오희","吴熙 (数学家)","Hee Oh",""
"가희","嘉熙 (歌手)","Kahi",""
"송준길","宋浚吉","Song Chun-gil",""
"소녀시대의 음반 외 활동 목록","少女时代影视作品列表","Girls' Generation videography",""
"윤후명","尹厚明","Yun Humyong",""
"서채현","徐采铉","Seo Chae-hyun",""
"서호철 (야구 선수)","徐浩喆","",""
"명종 (조선)","朝鲜明宗","Myeongjong of Joseon",""
"박영효","朴泳孝","Pak Yŏnghyo",""
"박성민 (정치인)","朴圣敏","",""
"이운재","李云在","Lee Woon-jae",""
"이의현 (조선)","李宜显","",""
"이은지 (치어리더)","李恩智","",""
"이동수 (배드민턴인)","李东秀","Lee Dong-soo",""
"이요원","李枖原","Lee Yo-won",""
"이수광","李睟光","Yi Sugwang",""
"임수경","林秀卿","Lim Su-kyung",""
"류중일","柳仲逸","Ryu Joong-il",""
"류성룡","柳成龙","Yu Sŏngnyong",""
"유해진","柳海真","Yoo Hae-jin",""
"하지민","河知民","Ha Jee-min",""
"하석진","河锡辰","Ha Seok-jin",""
"왕위전","王位战","Wangwi",""
"우원재","禹元才","Woo Won-jae",""
"귀인 정씨 (고종)","贵人郑氏 (朝鲜高宗)","Imperial Consort Gwiin Jeong",""
"현진 (2000년 11월)","贤真","Hyunjin (Loona singer)",""
"조재기","赵在基","Cho Jea-ki",""
"차정원","车贞媛","Cha Jung-won",""
"정경은","郑景银","Jung Kyung-eun",""
"김기호 (1960년)","金基浩","",""
"김대유 (1991년)","金大洧","",""
"김도현 (1977년)","金徒贤","",""
"삼축당 김씨","金玉基","",""
"부림 사건","釜林事件","",""
"한승우 (1994년)","韩胜宇","Han Seung-woo",""
"한소은","韩素恩","Han So-eun",""
"빅플래닛메이드엔터","Big Planet Made娱乐","BPM Entertainment",""
"인순왕후","仁顺王后","Queen Insun",""
"신성군","信城君","",""
"유승렬 (1893년)","刘升烈","",""
"주민규","周敏圭","Joo Min-kyu",""
"최준용 (2001년)","崔浚镛","",""
"최윤희 (군인)","崔润喜","",""
"서지석","徐芝释","Seo Ji-seok",""
"스타제국","明星帝国娱乐","Star Empire Entertainment",""
"박정 (1962년)","朴钉","",""
"이후락","李厚洛","Lee Hu-rak",""
"이재은 (1980년)","李在银","",""
"이기원 (탁구 선수)","李基元","Lee Ki-won",""
"이기열","李基列","",""
"이기문 (언어학자)","李基文","Ki-Moon Lee",""
"이규호 (배우)","李奎浩","",""
"이영표","李荣杓","Lee Young-pyo",""
"이제혁 (스노보드 선수)","李济赫","Lee Je-hyuk",""
"권현상","权贤尚","Kwon Hyun-sang",""
"심형래","沈炯来","Shim Hyung-rae",""
"하윤경","河润景","Ha Yoon-kyung",""
"조태열","赵兑烈","Cho Tae-yul",""
"조순승","赵淳升","Cho Soon-seung",""
"조현우 (배우)","赵玹釪","",""
"조갑제","赵甲济","Cho Gab-je",""
"곽재용","郭在容","Kwak Jae-yong",""
"정지윤 (배우)","郑智允 (韩国演员)","Jung Ji-yoon",""
"정준원 (1988년)","郑准元","Jung Joon-won (actor, born 1988)",""
"유나 (1992년)","酉奈","Yuna (singer, born 1992)",""
"김남희 (배우)","金南喜","Kim Nam-hee",""
"김희선","金喜善","Kim Hee-sun",""
"김승용","金承龙","Kim Seung-yong",""
"김영주 (1955년)","金荣珠","Kim Young-joo",""
"김법민 (양궁 선수)","金法旼","Kim Bub-min",""
"영훈 (1997년)","金泳勋","",""
"김병시","金炳始","",""
"김영광 (배우)","金英光","Kim Young-kwang (actor)",""
"김현숙 (1978년)","金贤淑","Kim Hyun-sook",""
"김석윤","金锡允","",""
"김선일 (통역사)","金鲜一","Killing of Kim Sun-il",""
"한익모","韩翼謩","",""
"용의 눈물","龙之泪","Tears of the Dragon (TV series)",""
"B1A4의 음반 외 활동 목록","B1A4媒体作品列表","",""
"샤이니의 수상 및 후보 목록","SHINee获奖与提名列表","List of awards and nominations received by Shinee",""
"뷔","V (防弹少年团)","V (singer)",""
"데이비드 맥기니스","大卫·麦金尼斯","David Lee McInnis",""
"강민경","姜珉炅","Kang Min-kyung",""
"강주형","姜珠馨","",""
"안병범 (1890년)","安秉范","",""
"토니 안","安胜浩","Tony An",""
"송윤아","宋玧妸","Song Yoon-ah",""
"윤경신","尹京信","Yoon Kyung-shin",""
"윤일록","尹日录","Yun Il-lok",""
"윤미라","尹美罗","Yoon Mi-ra",""
"최철호","崔哲浩","Choi Cheol-ho",""
"은채의 스타일기","恩采的明星日记","",""
"왕이 된 남자","成为王的男人","The Crowned Clown",""
"박성현 (골프 선수)","朴城炫","Park Sung-hyun (golfer)",""
"박은혜 (배우)","朴恩惠","Park Eun-hye",""
"박승희 (쇼트트랙 선수)","朴胜羲","Park Seung-hi",""
"이윤섭","李允燮","Lee Yoon-sub",""
"이우정 (작가)","李祐汀","Lee Woo-jung",""
"이수지 (희극인)","李秀智","",""
"유지광","柳志光","",""
"류혜영","柳惠英","Ryu Hye-young",""
"권이구","权利九","Kwon Yi-goo",""
"지헤라","池赫拉","Z.Hera",""
"신경숙","申京淑","Shin Kyung-sook",""
"추신수","秋信守","Shin-Soo Choo",""
"세 번 결혼하는 여자","结婚三次的女人","Thrice Married Woman",""
"곽해성","郭海盛","Kwak Hae-seong",""
"정현준","郑贤俊","Jung Hyeon-jun",""
"원필","金元弼","Wonpil",""
"김선빈 (야구 선수)","金善彬","Kim Sun-bin",""
"김관진 (군인)","金宽镇","Kim Kwan-jin",""
"김영옥 (군인)","金永玉","Young-Oak Kim",""
"김태군 (야구 선수)","金泰君","Kim Tae-gun",""
"김성일 (1538년)","金诚一","Kim Sŏngil (born 1538)",""
"민형배","闵炯培","Min Hyung-bae",""
"진경","陈庆 (演员)","Jin Kyung",""
"코리아나","高丽亚那","Koreana (band)",""
"세종대왕급 구축함","世宗大王级驱逐舰","Sejong the Great-class destroyer",""
"위에화 엔터테인먼트","乐华娱乐","YH Entertainment",""
"전지현","全智贤","Jun Ji-hyun",""
"대한민국헌정회","大韩民国宪政会","",""
"강동원","姜栋元","Gang Dong-won",""
"송창의 (배우)","宋昶仪","Song Chang-eui",""
"윤혜경","尹惠京","",""
"성모 (가수)","尹成模","",""
"윤진희","尹真熙","Yoon Jin-hee",""
"최우식","崔宇植","Choi Woo-shik",""
"최용덕 (1898년)","崔用德","Choi Yong-duk",""
"서거정","徐居正","",""
"성균관대학교","成均馆大学","Sungkyunkwan University",""
"조병국","曹秉局","Cho Byung-kuk",""
"박정희","朴正熙","Park Chung Hee",""
"이선미 (작가)","李善美 (编剧)","",""
