"japanese","chinese","romaji","gender"
"森秀昭","森秀昭","Hideaki Mori",""
"横田久則","横田久则","Hisanori Yokota",""
"與猶くるみ","与犹胡桃","Kurumi Yonao",""
"荒木絵里香","荒木绘里香","Erika Araki",""
"菅沼駿哉","菅沼骏哉","Shunya Suganuma",""
"辛島啓珠","辛岛启珠","Keiju Karashima",""
"酒井宏樹","酒井宏树","Hiroki Sakai",""
"鈴木大輔 (サッカー選手)","铃木大辅 (足球运动员)","Daisuke Suzuki (footballer)",""
"高木健旨","高木健旨","Kenji Takagi (footballer)",""
"上田藍","上田蓝","Ai Ueda",""
"中東直己","中东直己","Naoki Nakahigashi",""
"加藤竜二","加藤龙二","Ryuji Kato",""
"土方歳三","土方岁三","Hijikata Toshizō",""
"大倉智","大仓智","Satoshi Okura",""
"新井貴浩","新井贵浩","Takahiro Arai",""
"末岡圀孝","末冈圀孝","Kunitaka Sueoka",""
"柏木陽介","柏木阳介","Yōsuke Kashiwagi",""
"梅田竜二","梅田龙二","Ryuuji Umeda",""
"波戸康広","波户康广","Yasuhiro Hato",""
"石末龍治","石末龙治","Ryuji Ishizue",""
"赤星憲広","赤星宪广","Norihiro Akahoshi",""
"野澤正雄","野泽正雄","Masao Nozawa",""
"鈴木隆行","铃木隆行","Takayuki Suzuki",""
"高木和道","高木和道","Kazumichi Takagi",""
"髙木美帆","高木美帆","Miho Takagi (speed skater)",""
"高橋一三","高桥一三","Kazumi Takahashi (baseball)",""
"高田昌明","高田昌明","Masaaki Takada",""
"井上健 (サッカー選手)","井上健","Takeshi Inoue (footballer)",""
"井野亜季子","井野亚季子","Akiko Ino",""
"伊藤香菜子","伊藤香菜子","Kanako Ito (footballer)",""
"佐々岡真司","佐佐冈真司","Shinji Sasaoka",""
"佐藤康弘 (野球)","佐藤康弘","Yasuhiro Sato",""
"古藤千鶴","古藤千鹤","Chizuru Kotō",""
"吉村真晴","吉村真晴","Maharu Yoshimura",""
"坂井聖人","坂井圣人","Masato Sakai (swimmer)",""
"太田和臣","太田和臣","Kazuomi Ota",""
"安積四郎","安积四郎","Shiro Azumi",""
"小野寺雅之","小野寺雅之","Masayuki Onodera",""
"山田和司","山田和司","Kazushi Yamada",""
"岡崎慎司","冈崎慎司","Shinji Okazaki",""
"島田周輔","岛田周辅","Shusuke Shimada",""
"徳富斌","德富斌","Takeshi Tokutomi",""
"恵本裕子","惠本裕子","Yuko Emoto",""
"播磨浩謙","播磨浩谦","Hirokane Harima",""
"星野展弥","星野展弥","Nobuya Hoshino",""
"杉下茂","杉下茂","Shigeru Sugishita",""
"李尚勲","李尚勋","Lee Sang-hoon (baseball)",""
"栗城史多","栗城史多","Nobukazu Kuriki",""
"江角マキコ","江角真纪子","Makiko Esumi",""
"濵田尚里","滨田尚里","Shori Hamada",""
"田中光四郎","田中光四郎","Koshiro Tanaka",""
"逸ノ城駿","逸乃城骏","Ichinojō Takashi",""
"遠藤大由","远藤大由","Hiroyuki Endo",""
"遠藤純 (サッカー選手)","远藤纯","Jun Endō",""
"野口啓代","野口启代","Akiyo Noguchi",""
"隆の里俊英","隆之里俊英","Takanosato Toshihide",""
"高岡寿成","高冈寿成","Toshinari Takaoka",""
"高宇洋","高宇洋","Takahiro Ko",""
"三瀬幸司","三濑幸司","Koji Mise",""
"中村美里","中村美里","Misato Nakamura",""
"井上俊平","井上俊平","Shumpei Inoue",""
"井上香織","井上香织","Kaori Inoue",""
"佐藤琢磨","佐藤琢磨","Takuma Sato",""
"加茂健","加茂健","Takeshi Kamo",""
"山口素弘","山口素弘","Motohiro Yamaguchi",""
"山田大記","山田大记","Hiroki Yamada (footballer)",""
"工藤公康","工藤公康","Kimiyasu Kudō",""
"広瀬叔功","广濑叔功","Yoshinori Hirose",""
"徳川光友","德川光友","Tokugawa Mitsutomo",""
"柳生宗矩","柳生宗矩","Yagyū Munenori",""
"福本豊","福本丰","Yutaka Fukumoto",""
"船越義珍","船越义珍","Gichin Funakoshi",""
"萩野公介","萩野公介","Kosuke Hagino",""
"西村昭宏","西村昭宏","Akihiro Nishimura (footballer)",""
"野澤晁","野泽晁","Akira Nozawa",""
"長岡萌映子","长冈萌映子","Moeko Nagaoka",""
"高津臣吾","高津臣吾","Shingo Takatsu",""
"丸山城志郎","丸山城志郎","Joshiro Maruyama",""
"久高友雄","久高友雄","Tomoo Kudaka",""
"クリス・ブーチェック","克里斯·布却克","Chris Bootcheck",""
"原田裕花","原田裕花","Yuka Harada",""
"垣内友二","垣内友二","Yuji Kakiuchi",""
"小林悠 (サッカー選手)","小林悠 (足球运动员)","Yu Kobayashi (footballer)",""
"御厨景","御厨景","Kei Mikuriya",""
"木村現","木村现","Arawa Kimura",""
"トニー・バティスタ","东尼·巴提斯塔","Tony Batista",""
"武田治郎","武田治郎","Jiro Takeda",""
"バガボンド","浪人剑客","Vagabond (manga)",""
"片山洋","片山洋","Hiroshi Katayama",""
"石田京子","石田京子","Kyoko Ishida",""
"ビクトル・イバルボ","维克托·伊瓦尔沃","Víctor Ibarbo",""
"ロバート・ローズ","罗伯特·罗斯","Bobby Rose (baseball)",""
"ホセ・ヌーニェス (右投手)","荷西·努涅斯","José Núñez (right-handed pitcher)",""
"西邑昌一","西邑昌一","Shoichi Nishimura",""
"角田夏実","角田夏实","Natsumi Tsunoda",""
"近藤昭仁","近藤昭仁","Akihito Kondo",""
"金田正一","金田正一","Masaichi Kaneda",""
"鍋倉那美","锅仓那美","Nami Nabekura",""
"塩谷伸介","盐谷伸介","Shinsuke Shiotani",""
"中村恭平 (野球)","中村恭平","Kyohei Nakamura",""
"伊藤ふたば","伊藤双叶","Futaba Ito",""
"佐野恵太","佐野惠太","Keita Sano",""
"内柴正人","内柴正人","Masato Uchishiba",""
"吉田胡桃","吉田胡桃","Kurumi Yoshida",""
"堀部武庸","堀部武庸","Horibe Yasubee",""
"大山妙子","大山妙子","Taeko Oyama",""
"大松博文","大松博文","Hirofumi Daimatsu",""
"大谷佐知子","大谷佐知子","Sachiko Otani",""
"大野陽子","大野阳子","Yoko Ono (judoka)",""
"宮城山福松","宫城山福松","Miyagiyama Fukumatsu",""
"宮台康平","宫台康平","Kōhei Miyadai",""
"小倉新司","小仓新司","Shinji Ogura",""
"小川雄勢","小川雄势","Yusei Ogawa",""
"小林繁","小林繁","Shigeru Kobayashi",""
"川上優子","川上优子","Yuko Kawakami",""
"川野淳次","川野淳次","Junji Kawano",""
"李炳圭","李炳圭","Lee Byung-kyu",""
"松崎キミ代","松崎君代","Kimiyo Matsuzaki",""
"栗本広輝","栗本广辉","Hiroki Kurimoto",""
"森本葵","森本葵","Mamoru Morimoto",""
"波留敏夫","波留敏夫","Toshio Haru",""
"濵口遥大","滨口遥大","Haruhiro Hamaguchi",""
"愛洲久忠","爱洲移香斋","Aisu Iko",""
"篠原信一","筿原信一","Shinichi Shinohara",""
"荒井公三","荒井公三","Kozo Arai",""
"藤川孝幸","藤川孝幸","Takayuki Fujikawa",""
"豊田清","丰田清","Kiyoshi Toyoda",""
"野村忠宏","野村忠宏","Tadahiro Nomura",""
"金田美保","金田美保","Miho Kaneda",""
"髙木菜那","高木菜那","Nana Takagi",""
"三ヶ田礼一","三田礼一","Reiichi Mikata",""
"上田剛史","上田刚史","Tsuyoshi Ueda",""
"中村邦彦","中村邦彦","Kunihiko Nakamura",""
"中矢力","中矢力","Riki Nakaya",""
"仰木彬","仰木彬","Akira Ohgi",""
"加藤貴子 (バスケットボール)","加藤贵子","Takako Katō (basketball)",""
"吉田義勝","吉田义胜","Yoshikatsu Yoshida",""
"呉念庭","吴念庭","Nien-Ting Wu",""
"ドン・ローチ","唐·罗奇","Donn Roach",""
"塹江敦哉","堑江敦哉","Atsuya Horie",""
"大竹壱青","大竹壹青","Issei Otake",""
"宋家豪","宋家豪","Sung Chia-hao",""
"宗像卯一","宗像卯一","Uichi Munakata",""
"宮岡愛","宫冈爱","Ai Uchida",""
"富田一雄","富田一雄","Kazuo Tomita",""
"尾崎加寿夫","尾崎加寿夫","Kazuo Ozaki",""
"山田美葉","山田美叶","Miyo Yamada",""
"岡本真理子","冈本真理子","Mariko Okamoto",""
"川前直樹","川前直树","Naoki Kawamae",""
"朝赤龍太郎","朝赤龙太郎","Asasekiryū Tarō",""
"松原有沙","松原有沙","Arisa Matsubara",""
"板東湧梧","板东涌梧","Yugo Bandoh",""
"森保洋","森保洋","Hiroshi Moriyasu",""
"榎本潤","榎本润","Jun Enomoto",""
"沖本優大","冲本优大","Yudai Okimoto",""
"田中和仁","田中和仁","Kazuhito Tanaka",""
"田本博子","田本博子","Hiroko Tamoto",""
"田渕龍二","田渕龙二","Ryuji Tabuchi",""
"矢野繁树","矢野繁树","Shigeki Yano",""
"綿貫裕介","绵贯裕介","Yusuke Watanuki",""
"アルビン・デービス","艾尔文·戴维斯","Alvin Davis",""
"若乃花幹士 (初代)","若乃花干士 (初代)","Wakanohana Kanji I",""
"菅野拓真","菅野拓真","Takuma Sugano",""
"菊池彩花","菊池彩花","Ayaka Kikuchi (speed skater)",""
"薪谷翠","薪谷翠","Midori Shintani",""
"薮内夏美","薮内夏美","Natsumi Yabuuchi",""
"藤井秀悟","藤井秀悟","Shugo Fujii",""
"長峯かおり","长峰香","Kaori Nagamine",""
"阿部典史","阿部典史","Norifumi Abe",""
"須﨑海羽","须崎海羽","Miu Suzaki",""
"高橋浩 (卓球選手)","高桥浩","Hiroshi Takahashi (table tennis)",""
"高田幸一","高田幸一","Koichi Takada",""
"一力遼","一力辽","Ryo Ichiriki",""
"中島依美","中岛依美","Emi Nakajima",""
"井口資仁","井口资仁","Tadahito Iguchi",""
"内海哲也","内海哲也","Tetsuya Utsumi",""
"前田俊介","前田俊介","Shunsuke Maeda",""
"前田浩二","前田浩二","Koji Maeda",""
"加藤友介","加藤友介","Yusuke Kato",""
"吉川亨","吉川亨","Toru Yoshikawa",""
"成瀬善久","成濑善久","Yoshihisa Naruse",""
"日比野菜緒","日比野菜绪","Nao Hibino",""
"朽木ルキア","朽木露琪亚","Rukia Kuchiki",""
"渋木綾乃","涩木绫乃","Ayano Shibuki",""
"目黒萌絵","目黑萌绘","Moe Meguro",""
"矢島慎也","矢岛慎也","Shinya Yajima",""
"石垣優香","石垣优香","Yuka Ishigaki",""
"篠崎三郎","筿崎三郎","Saburo Shinosaki",""
"菅澤優衣香","菅泽优衣香","Yuika Sugasawa",""
"ハーフナー・ディド","迪多·哈维纳尔","Dido Havenaar",""
"郭泰源","郭泰源","Kuo Tai-yuan",""
"長谷川太一","长谷川太一","Taichi Hasegawa",""
"陳瑋","陈玮 (棒球运动员)","Chen Wei (baseball)",""
"中岡麻衣子","中冈麻衣子","Maiko Nakaoka",""
"京極おきな","京极翁","Okina Kyogoku",""
"今岡真訪","今冈诚","Makoto Imaoka",""
"伊藤繁雄","伊藤繁雄","Shigeo Itoh",""
"佐藤文平","佐藤文平","Bumpei Sato",""
"前场一也","前场一也","Kazuya Maeba",""
"前田智徳","前田智德","Tomonori Maeda",""
"北村拓己","北村拓己","Takumi Kitamura (baseball)",""
"坂本花織","坂本花织","Kaori Sakamoto",""
"大村直之","大村直之","Naoyuki Ohmura",""
"大竹望月","大竹望月","Mizuki Otake",""
"尹致暎","尹致暎","Yun Chi-young",""
"山口剛史","山口刚史","Tsuyoshi Yamaguchi (curler)",""
"平澤奈古","平泽奈古","Nako Hirasawa",""
"手島和希","手岛和希","Kazuki Teshima",""
"托馬斯·嶋田","托马斯·嶋田","Thomas Shimada",""
"本間隆太","本间隆太","Ryuta Homma",""
"C.C.リー","李振昌","C. C. Lee",""
"水原茂","水原茂","Shigeru Mizuhara",""
"濱田太貴","滨田太贵","Taiki Hamada",""
"牧原大成","牧原大成","Taisei Makihara",""
"田中碧 (サッカー選手)","田中碧","Ao Tanaka",""
"益田弘二","益田弘二","Koji Masuda",""
"石田健大","石田健大","Kenta Ishida",""
"簔口祐介","簔口祐介","Yusuke Minoguchi",""
"米山弘","米山弘","Hiroshi Yoneyama",""
"荒川博","荒川博","Hiroshi Arakawa",""
"菊池利三","菊池利三","Toshimi Kikuchi",""
"ライアン・ボーグルソン","莱恩·沃格索恩","Ryan Vogelsong",""
"藤田元司","藤田元司","Motoshi Fujita",""
"薮田安彦","薮田安彦","Yasuhiko Yabuta",""
"西牧未央","西牧未央","Mio Nishimaki",""
"見崎充洋","见崎充洋","Mitsuhiro Misaki",""
"ライデル・マルティネス","赖德尔·马丁内斯","Raidel Martínez",""
"足達勇輔","足达勇辅","Yusuke Adachi",""
"近本光司","近本光司","Kōji Chikamoto",""
"野津田岳人","野津田岳人","Gakuto Notsuda",""
"北尾光司","双羽黑光司","Kōji Kitao",""
"髙嶋理紗","高嶋理纱","Risa Takashima",""
"高本詞史","高本词史","Norifumi Takamoto",""
"魁輝薫秀","魁辉薰秀","Kaiki Nobuhide",""
"マイケル中村","麦可·中村","Micheal Nakamura",""
"中込伸","中込伸","Shin Nakagomi",""
"倉田秋","仓田秋","Shu Kurata",""
"前川和也","前川和也","Kazuya Maekawa",""
"吉田海偉","吉田海伟","Kaii Yoshida",""
"シンシア・ラスター","大岛由加里","Yukari Oshima",""
"大嶽直人","大岳直人","Naoto Otake",""
"奥大介","奥大介","Daisuke Oku",""
"小椋久美子","小椋久美子","Kumiko Ogura",""
"川本泰三","川本泰三","Taizo Kawamoto",""
"李忠成","李忠成","Tadanari Lee",""
"林昌勇","林昌勇","Lim Chang-yong",""
"水谷隼","水谷隼","Jun Mizutani",""
"清水金二郎","清水金二郎","Kinjiro Shimizu",""
"熊谷紗希","熊谷纱希","Saki Kumagai",""
"藤井紫緒","藤井紫绪","Shio Fujii",""
"からくり剣豪伝ムサシロード","超级剑豪传","Musashi, the Samurai Lord",""
"金子千尋","金子千寻","Chihiro Kaneko",""
"金子祐樹","金子祐树","Yuki Kaneko (badminton)",""
"斉藤和巳","齐藤和巳","Kazumi Saito",""
"仲川輝人","仲川辉人","Teruhito Nakagawa",""
"吉田達磨","吉田达磨","Tatsuma Yoshida",""
"大引啓次","大引启次","Keiji Obiki",""
"大榎克己","大榎克己","Katsumi Oenoki",""
"妙義龍泰成","妙义龙泰成","Myōgiryū Yasunari",""
"孔令文","孔令文","Ko Reibun",""
"寺川綾","寺川绫","Aya Terakawa",""
"小村徳男","小村德男","Norio Omura",""
"山口鉄也","山口铁也","Tetsuya Yamaguchi",""
"有馬賢二","有马贤二","Kenji Arima",""
"クリストフ・ルメール","李慕华","Christophe Lemaire",""
"柳沢敦","柳泽敦","Atsushi Yanagisawa",""
"中野尚弘","池田尚弘","Naohiro Ikeda",""
"河野一郎","河野一郎","Ichirō Kōno",""
"清雲栄純","清云荣纯","Eijun Kiyokumo",""
"真鍋敬子","真锅敬子","Keiko Manabe",""
"碧山亘右","碧山亘右","Aoiyama Kōsuke",""
"細川浩三","细川浩三","Kozo Hosokawa",""
"藤本達夫","藤本达夫","Tatsuo Fujimoto",""
"藤田直之","藤田直之","Naoyuki Fujita",""
"豊田泰光","丰田泰光","Yasumitsu Toyoda",""
"野村克也","野村克也","Katsuya Nomura",""
"井出多米夫","井出多米夫","Tameo Ide",""
"吉田雅美","吉田雅美","Masami Yoshida (javelin thrower)",""
"セシル・フィルダー","塞索·菲尔德","Cecil Fielder",""
"多田野数人","多田野数人","Kazuhito Tadano",""
"宮本ともみ","宫本智美","Tomomi Miyamoto",""
"宮澤夕貴","宫泽夕贵","Yuki Miyazawa",""
"小川航基","小川航基","Kōki Ogawa (footballer)",""
"岡大海","冈大海","Hiromi Oka",""
"岩渕麗楽","岩渕丽乐","Reira Iwabuchi",""
"巌流島","岩流岛","Ganryū-jima",""
"川島透 (サッカー選手)","川岛透","Toru Kawashima",""
"平井康翔","平井康翔","Yasunari Hirai",""
"新浦壽夫","新浦寿夫","Hisao Niura",""
"本多忠","本多忠","Tadashi Honda",""
"杉本裕太郎","杉本裕太郎","Yutaro Sugimoto",""
"杉浦正則","杉浦正则","Masanori Sugiura",""
"林健太郎 (サッカー選手)","林健太郎","Kentaro Hayashi",""
"江川卓 (野球)","江川卓","Suguru Egawa",""
"渡辺久信","渡边久信","Hisanobu Watanabe",""
"船本幸路","船本幸路","Koji Funamoto",""
"ホセ・フェルナンデス (1974年生の内野手)","荷西·费南德兹 (三垒手)","José Fernández (third baseman)",""
"菅原美希","菅原美希","Miki Sugawara",""
"菅野智之","菅野智之","Tomoyuki Sugano",""
"藤野舞子","藤野舞子","Maiko Fujino",""
"西原加純","西原加纯","Kasumi Nishihara",""
"西岡剛 (内野手)","西冈刚","Tsuyoshi Nishioka",""
"邦本宜裕","邦本宜裕","Takahiro Kunimoto",""
"野々村笙吾","野野村笙吾","Shogo Nonomura",""
"鈴木亜由子","铃木亚由子","Ayuko Suzuki",""
"鈴木大地","铃木大地","Daichi Suzuki",""
"黒川史陽","黑川史阳","Fumiya Kurokawa",""
"斉藤真理菜","齐藤真理菜","Marina Saito",""
"三浦里佳子","三浦里佳子","Rikako Miura",""
"中川皓太","中川皓太","Kōta Nakagawa",""
"中村大伸","中村大伸","Daishin Nakamura",""
"伊調馨","伊调馨","Kaori Icho",""
"八木智哉","八木智哉","Tomoya Yagi",""
"加納孝","加纳孝","Takashi Kano",""
"増田大輝","增田大辉","Daiki Masuda",""
"大友慧","大友慧","Satoshi Ōtomo",""
"小平奈緒","小平奈绪","Nao Kodaira",""
"小針清允","小针清允","Kiyomitsu Kobari",""
"山田泰寛","山田泰宽","Yasuhiro Yamada",""
"平野将光","平野将光","Masamitsu Hirano",""
"広岡達朗","广冈达朗","Tatsuro Hirooka",""
"末續慎吾","末续慎吾","Shingo Suetsugu",""
"本並健治","本并健治","Kenji Honnami",""
"歳内宏明","岁内宏明","Hiroaki Saiuchi",""
"泉政伸","泉政伸","Masanobu Izumi",""
"潮田玲子","潮田玲子","Reiko Shiota",""
"米澤剛志","米泽刚志","Takeshi Yonezawa",""
"羽田憲司","羽田宪司","Kenji Haneda",""
"藤川久孝","藤川久孝","Hisataka Fujikawa",""
"西村健太朗","西村健太朗","Kentaro Nishimura",""
"高木成太","高木成太","Narita Takaki",""
"鳥越恵","鸟越惠","Megumi Torigoe",""
"斎藤雅樹","斋藤雅树","Masaki Saito (baseball)",""
"中島史恵 (ホッケー選手)","中岛史惠","Mie Nakashima",""
"千代翔馬富士雄","千代翔马富士雄","Chiyoshōma Fujio",""
"名塚善寛","名冢善宽","Yoshihiro Natsuka",""
"坂本武久","坂本武久","Takehisa Sakamoto",""
"堀瑞輝","堀瑞辉","Mizuki Hori",""
"大仁邦彌","大仁邦弥","Kuniya Daini",""
"オーランド・ロマン","奥兰多·罗曼","Orlando Román",""
"小城得達","小城得达","Aritatsu Ogi",""
"平野美宇","平野美宇","Miu Hirano",""
"松本安司","松本安司","Yasushi Matsumoto",""
"江畑幸子","江畑幸子","Yukiko Ebata",""
"河野謙三","河野谦三","Kenzō Kōno",""
"波多野豪","波多野豪","Go Hatano",""
"田中正義","田中正义","Seigi Tanaka",""
"田之上慶三郎","田之上庆三郎","Keisaburo Tanoue",""
"真田重蔵","真田重藏","Juzo Sanada",""
"石井丈裕","石井丈裕","Takehiro Ishii",""
"藤井則和","藤井则和","Norikazu Fujii",""
"谷真海","谷真海","Mami Tani",""
"ルー・テーズ","路·塞兹","Lou Thesz",""
"鈴木智子 (サッカー選手)","铃木智子","Tomoko Suzuki",""
"吉田昌子","高柳昌子","Shoko Takayanagi",""
"高桑大二朗","高桑大二朗","Daijiro Takakuwa",""
"高橋真一郎","高桥真一郎","Shinichiro Takahashi",""
"鶴見虹子","鹤见虹子","Kōko Tsurumi",""
"塩田剛三","盐田刚三","Gozo Shioda",""
"丸山良明","丸山良明","Yoshiaki Maruyama",""
"久保裕也 (野球)","久保裕也","Yuya Kubo (baseball)",""
"九里亜蓮","九里亚莲","Allen Kuri",""
"伊藤大海 (野球)","伊藤大海","Hiromi Itoh",""
"古財和輝","古财和辉","Kazuteru Kozai",""
"古賀正人","古贺正人","Masato Koga",""
"吉村昌弘","吉村昌弘","Masahiro Yoshimura",""
"坂上洋子","坂上洋子","Yoko Sakaue",""
"サブロー","大村三郎","Saburo Omura",""
"宮原優","宫原优","Yu Miyahara",""
"小池知己","小池知己","Toshiki Koike",""
"小野卓志","小野卓志","Takashi Ono (judoka)",""
"山本隆弘","山本隆弘","Takahiro Yamamoto",""
"岩瀬仁紀","岩濑仁纪","Hitoki Iwase",""
"我妻広一","我妻广一","Koichi Azuma",""
"新宅雅也","新宅永灯至","Hisatoshi Shintaku",""
"早川一枝","早川一枝","Kazue Hayakawa",""
"村主章枝","村主章枝","Fumie Suguri",""
"柳楽智和","柳乐智和","Tomokazu Nagira",""
"槙原寛己","槙原宽己","Hiromi Makihara",""
"江岛大佑","江岛大佑","Daisuke Ejima",""
"澤井廉","泽井廉","Ren Sawai",""
"田上高","田上高","Takashi Tanoue",""
"田中信孝","田中信孝","Nobutaka Tanaka",""
"田中順子 (アーティスティックスイミング選手)","田中顺子","Junko Tanaka",""
"白井璃緒","白井璃绪","Rio Shirai",""
"ルーク・ボイト","卢克·沃伊特","Luke Voit",""
"石田真彦","石田真彦","Naohiko Ishida",""
"米津美和","米津美和","Miwa Yonetsu",""
"ロニー・ロドリゲス","罗尼·罗德里奎兹","Ronny Rodríguez",""
"日本出身のメジャーリーグベースボール選手一覧","美国职棒大联盟日本球员列表","List of Major League Baseball players from Japan",""
"貴闘力忠茂","贵斗力忠茂","Takatōriki Tadashige",""
"鈴木和裕","铃木和裕","Kazuhiro Suzuki",""
"青木まゆみ","青木真弓","Mayumi Aoki",""
"鬼塚雅","鬼冢雅","Miyabi Onitsuka",""
"鶴竜力三郎","鹤龙力三郎","Kakuryū Rikisaburō",""
"麻生太郎","麻生太郎","Tarō Asō",""
"三森泰明","三森泰明","Yasuaki Mitsumori",""
"下山大地","下山大地","Daichi Shimoyama",""
"伊藤卓 (1975年生のサッカー選手)","伊藤卓","Suguru Ito",""
"佐々木主浩","佐佐木主浩","Kazuhiro Sasaki",""
"力道山","力道山","Rikidōzan",""
"加藤澤男","加藤泽男","Sawao Katō",""
"吉田夕梨花","吉田夕梨花","Yurika Yoshida",""
"向翔一郎","向翔一郎","Shoichiro Mukai",""
"大前元紀","大前元纪","Genki Omae",""
"大槻紘士","大槻纮士","Hiroshi Otsuki",""
"大豐昌央","大丰昌央","Ōyutaka Masachika",""
"太田宏介","太田宏介","Kosuke Ota",""
"安岡力也","安冈力也","Rikiya Yasuoka",""
"小屋禎","小屋祯","Tadashi Koya",""
"小山正明","小山正明","Masaaki Koyama",""
"岩谷俊夫","岩谷俊夫","Toshio Iwatani",""
"平子真子","平子真子","List of Bleach characters#Shinji Hirako",""
"手倉森誠","手仓森诚","Makoto Teguramori",""
"村松有人","村松有人","Arihito Muramatsu",""
"松井謙弥","松井谦弥","Kenya Matsui",""
"江口冨士枝","江口富士枝","Fujie Eguchi",""
"池田隆英","池田隆英","Takahide Ikeda",""
"渡邉諒","渡边谅","Ryo Watanabe (infielder)",""
"琴錦登","琴锦登","Kotonishiki Noboru",""
"田中順也","田中顺也","Junya Tanaka",""
"石川健太郎","石川健太郎","Kentaro Ishikawa",""
"若松勉","若松勉","Tsutomu Wakamatsu",""
"マック鈴木","铃木诚","Mac Suzuki",""
"長谷川勇也","长谷川勇也","Yuya Hasegawa",""
"阿部博幸","阿部博幸","Hiroyuki Abe (table tennis)",""
"三宅宏実","三宅宏实","Hiromi Miyake",""
"上原健太 (野球)","上原健太","Kenta Uehara",""
"二天一流","二天一流","Niten Ichi-ryū",""
"吉田えり","吉田绘里","Eri Yoshida",""
"坂口裕之","坂口裕之","Hiroyuki Sakaguchi",""
"大野豊 (野球)","大野丰","Yutaka Ohno",""
"小島啓民","小岛启民","Hirotami Kojima",""
"山本脩斗","山本修斗","Shuto Yamamoto",""
"岡本昌弘","冈本昌弘","Masahiro Okamoto",""
"岩崎恭子","岩崎恭子","Kyoko Iwasaki",""
"岩淵功","岩渊功","Isao Iwabuchi",""
"市瀬菜々","市濑菜菜","Nana Ichise",""
"平本一樹","平本一树","Kazuki Hiramoto",""
"開田幸一","开田幸一","Koichi Hirakida",""
"松永一慶","松永一庆","Kazuyoshi Matsunaga",""
"松田紀子 (バレーボール)","松田纪子","Noriko Matsuda",""
"柴田勲","柴田勋","Isao Shibata",""
"橋本由衣","桥本由衣","Yui Hashimoto",""
"トミー・クルーズ","汤米·克鲁兹","Tommy Cruz",""
"石田芳夫","石田芳夫","Yoshio Ishida",""
"藤井拓郎","藤井拓郎","Takuro Fujii",""
"西竹一","西竹一","Takeichi Nishi",""
"足立真梨子","足立真梨子","Mariko Adachi",""
"野口裕司","野口裕司","Hiroshi Noguchi",""
"関根貴大","关根贵大","Takahiro Sekine",""
"阪口萌乃","阪口萌乃","Moeno Sakaguchi",""
"雷電爲右エ門","雷电为右卫门","Raiden Tameemon",""
"風香","风香","Fuka Kakimoto",""
"髙橋尚成","高桥尚成","Hisanori Takahashi",""
"佐藤信之","佐藤信之","Nobuyuki Sato",""
"内山勝 (サッカー選手)","内山胜","Masaru Uchiyama",""
"向島建","向岛建","Tatsuru Mukojima",""
"呉清源","吴清源","Go Seigen",""
"安藤正裕","安藤正裕","Masahiro Ando (footballer)",""
"廣瀬栄理子","广濑荣理子","Eriko Hirose",""
"本多雄一","本多雄一","Yuichi Honda",""
"横谷政樹","横谷政树","Masaki Yokotani",""
"永倉新八","永仓新八","Nagakura Shinpachi",""
"津田幸男","津田幸男","Yukio Tsuda (footballer)",""
"篠原貴行","筿原贵行","Takayuki Shinohara",""
"脇谷亮太","脇谷亮太","Ryota Wakiya",""
"越田剛史","越田刚史","Takeshi Koshida",""
"金城龍彦","金城龙彦","Tatsuhiko Kinjō",""
"金容植","金容植","Kim Yong-sik",""
"金本知憲","金本知宪","Tomoaki Kanemoto",""
"高山忠雄","高山忠雄","Tadao Takayama",""
"斉藤浩史","齐藤浩史","Hiroshi Saito (footballer)",""
"クリス・ジョンソン (投手)","克里斯·约翰逊 (投手)","Kris Johnson (baseball)",""
"内野正雄","内野正雄","Masao Uchino",""
"太田裕和","太田裕和","Hirokazu Ota",""
"小林誠司","小林诚司","Seiji Kobayashi",""
"島卓視","岛卓视","Takumi Shima",""
"島田貴裕","岛田贵裕","Takahiro Shimada",""
"張本智和","张本智和","Tomokazu Harimoto",""
"徳永耕治","德永耕治","Koji Tokunaga",""
"有光洋右","有光洋右","Yosuke Arimitsu",""
"杉内俊哉","杉内俊哉","Toshiya Sugiuchi",""
"松山博明","松山博明","Hiroaki Matsuyama",""
"栗原文音","栗原文音","Ayane Kurihara",""
"横山竜士","横山龙士","Ryuji Yokoyama",""
"櫛引政敏","栉引政敏","Masatoshi Kushibiki",""
"永田克彦","永田克彦","Katsuhiko Nagata",""
"稲尾和久","稻尾和久","Kazuhisa Inao",""
"竹元義幸","竹元义幸","Yoshiyuki Takemoto",""
"花城長茂","花城长茂","Chōmo Hanashiro",""
"西貝尚子","西贝尚子","Naoko Nishigai",""
"迫田さおり","迫田沙织","Saori Sakoda",""
"野澤啓佑","野泽启佑","Keisuke Nozawa",""
"長沢駿","长泽骏","Shun Nagasawa",""
"門原かおる","门原香","Kaoru Kadohara",""
"三輪隆","三轮隆","Takashi Miwa",""
"下川健一","下川健一","Kenichi Shimokawa",""
"中村祐人","中村祐人","Yuto Nakamura",""
"二宮和弘","二宫和弘","Kazuhiro Ninomiya",""
"坂田恵","坂田惠","Megumi Sakata",""
"安藝ノ海節男","安艺乃海节男","Akinoumi Setsuo",""
"寺内健","寺内健","Ken Terauchi",""
"小島宏美","小岛宏美","Hiromi Kojima",""
"山路嘉人","山路嘉人","Yoshihito Yamaji",""
"星野仙一","星野仙一","Senichi Hoshino",""
