"japanese","chinese","romaji","gender"
"貴乃花光司","贵乃花光司","Takanohana Kōji",""
"車屋紳太郎","车屋绅太郎","Shintaro Kurumaya",""
"錦織圭","锦织圭","Kei Nishikori",""
"高木京介","高木京介","Kyosuke Takagi",""
"上原浩治","上原浩治","Koji Uehara",""
"佐々木健介","佐佐木健介","Kensuke Sasaki",""
"佐野友昭","佐野友昭","Tomoaki Sano",""
"関塚隆","关冢隆","Takashi Sekizuka",""
"半田百合子","半田百合子","Yuriko Handa",""
"坂井達弥","坂井达弥","Tatsuya Sakai",""
"大家夏稀","大家夏稀","Natsuki Oie",""
"大西貴","大西贵","Takashi Onishi",""
"ウィリン・ロサリオ","威林·罗萨里奥","Wilin Rosario",""
"安拿胡阿道","安拿胡阿道","Ado Onaiwu",""
"峯村沙紀","峰村沙纪","Saki Minemura",""
"張奕","张奕","Chang Yi (baseball)",""
"有銘兼久","有铭兼久","Kanehisa Arime",""
"木村重太郎","木村重太郎","Jutaro Kimura",""
"杉田亜未","杉田亚未","Ami Sugita",""
"杉田妃和","杉田妃和","Hina Sugita",""
"東川昌典","东川昌典","Yoshinori Higashikawa",""
"松本麻佑","松本麻佑","Mayu Matsumoto",""
"松本竜也 (左投手)","松本龙也","Ryuya Matsumoto",""
"桑田真澄","桑田真澄","Masumi Kuwata",""
"森田貴美枝","森田贵美枝","Kimie Morita",""
"植村慶","植村庆","Kei Uemura",""
"沖田総司","冲田总司","Okita Sōji",""
"渡邉航貴","渡边航贵","Koki Watanabe",""
"片山右京","片山右京","Ukyo Katayama",""
"表原玄太","表原玄太","Genta Omotehara",""
"ヘクター・カラスコ","赫克特·卡拉斯科","Héctor Carrasco",""
"謝名利山","郑迵","Jana Ueekata",""
"長谷川滋利","长谷川滋利","Shigetoshi Hasegawa",""
"長谷川信彦","长谷川信彦","Nobuhiko Hasegawa",""
"高木虎之介","高木虎之介","Toranosuke Takagi",""
"黒田博樹","黑田博树","Hiroki Kuroda",""
"下小鶴綾","下小鹤绫","Aya Shimokozuru",""
"豊田久吉","丰田久吉","Hisakichi Toyoda",""
"入江陵介","入江陵介","Ryosuke Irie",""
"吉田安孝","吉田安孝","Yasutaka Yoshida",""
"大島信雄","大岛信雄","Nobuo Oshima",""
"大石篤人","大石笃人","Atsuto Oishi",""
"島岡健太","岛冈健太","Kenta Shimaoka",""
"市丸銀","市丸银","Gin Ichimaru",""
"乾絵美","干绘美","Emi Inui",""
"才木浩人","才木浩人","Hiroto Saiki",""
"本田征治","本田征治","Seiji Honda",""
"杉田祐一","杉田祐一","Yūichi Sugita",""
"江口実沙","江口实沙","Misa Eguchi",""
"浦原喜助","浦原喜助","List of Bleach characters#Kisuke Urahara",""
"清水直行","清水直行","Naoyuki Shimizu",""
"竹内悌三","竹内悌三","Teizo Takeuchi",""
"羽生善治","羽生善治","Yoshiharu Habu",""
"能見篤史","能见笃史","Atsushi Nomi",""
"荒木雅博","荒木雅博","Masahiro Araki",""
"豊田奈夕葉","丰田奈夕叶","Nayuha Toyoda",""
"長谷川治久","长谷川治久","Haruhisa Hasegawa",""
"アルフレッド・フィガロ","阿尔弗雷多·菲加罗","Alfredo Fígaro",""
"高橋彩子","高桥彩子","Saiko Takahashi",""
"三好南穂","三好南穗","Naho Miyoshi",""
"三浦美幸","三浦美幸","Miyuki Miura",""
"乾友紀子","干友纪子","Yukiko Inui",""
"乾貴士","干贵士","Takashi Inui",""
"佐々木健志","佐佐木健志","Takeshi Sasaki",""
"入江ななみ","入江奈奈美","Nanami Irie",""
"初音舞","初音舞","Mai Hatsune",""
"大栄翔勇人","大荣翔勇人","Daieishō Hayato",""
"大矢歩","大矢步","Ayumi Oya",""
"小林宏之 (野球)","小林宏之","Hiroyuki Kobayashi (baseball)",""
"山本左近","山本左近","Sakon Yamamoto",""
"ブレイディン・ヘーゲンズ","布拉丁·哈根斯","Bradin Hagens",""
