"russian","chinese","gender"
"Куприян Киркиж","库普里扬·基尔基日",""
"Константин Федин","康斯坦丁·费定",""
"Пётр Васильев","彼得·康斯坦丁诺维奇·瓦西里耶夫",""
"Пётр Струве","彼得·斯特鲁维",""
"Дмитрий Лаптев","德米特里·拉普捷夫",""
"Дмитрий Протопопов","德米特里·普罗托波波夫",""
"Дмитрий Шостакович","德米特里·肖斯塔科维奇",""
"Эрнст Неизвестный","恩斯特·涅伊兹韦斯内伊",""
"Закаш Камалиденов","扎卡什·卡马利杰诺夫",""
"Денис Мацуев","杰尼斯·马楚耶夫",""
"Геннадий Хазанов","根纳季·哈扎诺夫",""
"Джохар Дудаев","焦哈尔·杜达耶夫",""
"Валерий Солодчук","瓦列里·索洛丘克",""
"Василий Сталин","瓦西里·斯大林",""
"Магомет Гаджиев","穆罕默德·伊马杜季诺维奇·哈吉耶夫",""
"Симфония № 3 (Чайковский)","第3号交响曲 (柴可夫斯基)",""
"Симфония № 6 (Чайковский)","第6号交响曲 (柴可夫斯基)",""
"Михаил Колесников","米哈伊尔·彼得罗维奇·科列斯尼科夫",""
"Виктор Сафронов","维克托·萨夫罗诺夫",""
"Виктор Папутин","维克托·帕普京",""
"Виктор Санеев","维克托·萨涅耶夫",""
"Виталий Примаков","维塔利·普里马科夫",""
"Фридрих I (король Вюртемберга)","腓特烈一世 (符腾堡国王)",""
"Урга — территория любви","蒙古精神",""
"Сергей Андреев","谢尔盖·安德烈耶夫",""
"Сергей Залётин","谢尔盖·扎廖京",""
"Алексей Скворцов","阿列克谢·康斯坦丁诺维奇·斯克沃尔佐夫",""
"Альфред Саксен-Кобург-Готский","阿尔弗雷德 (萨克森-科堡-哥达公爵)",""
"Алёна Карташова","阿廖娜·卡尔塔绍娃",""
"Анатолий Иванишин","阿纳托利·伊万尼申",""
"Анатолий Григорьев","阿纳托利·格里戈里耶夫",""
"Максим Аммосов","马克西姆·阿莫索夫",""
"Матвей Блантер","马特维·勃兰切尔",""
"Борис Петровский","鲍里斯·彼得罗夫斯基",""
"Александр Драгунов","龙果夫",""
"Шаблон:Генерал-адмиралы России","Template:俄罗斯沙皇国及俄罗斯帝国海军大将",""
"Александр Александров","亚历山大·瓦西里耶维奇·亚历山德罗夫",""
"Александр Солженицын","亚历山大·索尔仁尼琴",""
"Александр Меншиков","亚历山大·达尼洛维奇·缅什科夫",""
"Александр Лапин","亚历山大·拉平",""
"Ксения Собчак","克谢尼娅·索布恰克",""
"Карл Маннергейм","卡尔·古斯塔夫·埃米尔·曼纳海姆",""
"Эбергард Герварт фон Биттенфельд","卡尔·冯·比滕费尔德",""
"Екатерина Джугашвили","叶卡捷琳娜·格拉泽",""
"Евгений Ревенко","叶夫根尼·列文科",""
"Оксана Чусовитина","奥克萨娜·丘索维金娜",""
"Людвиг Виктор Австрийский","奥地利的路德维希·维克多",""
"Тимур Энеев","季穆尔·埃涅耶夫",""
"Андрей Туполев","安德烈·图波列夫",""
"Андрей Андрейченко","安德烈·安德烈琴科",""
"Андрей Рублёв","安德烈·鲁布廖夫 (画家)",""
"Ефим Звягильский","尤希姆·兹维亚希尔斯基",""
"Юрий Коптев","尤里·科普捷夫",""
"Николай Кузьмин","尼古拉·库兹明",""
"Николай Костечко","尼古拉·科斯捷奇科",""
"Николай Соколов","尼古拉·索科洛夫",""
"Павел Судоплатов","帕维尔·苏多普拉托夫",""
"Павел Симигин","帕维尔·西米金",""
"Константин Феоктистов","康斯坦丁·彼得罗维奇·费奥克蒂斯托夫",""
"Константин Максимов","康斯坦丁·马克西莫夫",""
"Владимир Медведев","弗拉基米尔·季莫费耶维奇·梅德韦杰夫",""
"Владимир Мовсесян","弗拉基米尔·莫夫西相",""
"Уиттекер Чемберс","惠特克·钱伯斯",""
"Стефан Ендриховский","斯特凡·英德里霍夫斯基",""
"Гарегин Апресов","格利金·阿布列索夫",""
"Эдуард Винокуров","爱德华·维诺库罗夫",""
"Валерий Гергиев","瓦列里·捷杰耶夫",""
"Василе Лука","瓦西列·卢卡",""
"Михаил Калинин","米哈伊尔·加里宁",""
"Михаил Рюмин","米哈伊尔·留明",""
"Михаил Соломенцев","米哈伊尔·索洛缅采夫",""
"Михаил Жванецкий","米哈伊尔·日瓦涅茨基",""
"Лина Костенко","莉娜·科斯滕科",""
"Лидия Литвяк","莉迪亚·利特维亚克",""
"Екатерина Андреева","叶卡捷琳娜·安德烈耶娃",""
"Евгений Халдей","叶夫根尼·哈尔杰伊",""
"Елена Масюк","叶莲娜·马修克",""
"Сергей Чавайн","谢尔盖·沙万",""
"Сергей Сокол","谢尔盖·索科尔",""
"Сергей Веремеенко","谢尔盖·韦列梅延科",""
"Фёдор Константинов","费奥多尔·瓦西里耶维奇·康斯坦丁诺夫",""
"Динар Гильмутдинов","迪纳尔·吉利穆季诺夫",""
"Алексей Петров","阿列克谢·济诺维耶维奇·彼得罗夫",""
"Борис Лавренёв","鲍里斯·拉夫列尼约夫",""
"Борис Снетков","鲍里斯·斯涅特科夫",""
"Шаблон:СНГ","Template:独立国家联合体",""
"Рейды в Белгородскую область (2023)","2023年别尔哥罗德州入侵",""
"Денис Кравченко","丹尼斯·克拉夫琴科",""
"Александр Бестужев","亚历山大·亚历山德罗维奇·别斯图热夫",""
"Александр Дедюшко","亚历山大·杰久什科",""
"Александр I Карагеоргиевич","亚历山大一世 (南斯拉夫)",""
"Депортация украинских детей в Россию","俄罗斯入侵乌克兰期间的儿童绑架事件",""
"Берды Кербабаев","别尔迪·凯尔巴巴耶夫",""
"Евгений Алексеев","叶夫根尼·伊万诺维奇·阿列克谢耶夫",""
"Евгений Джугашвили","叶夫根尼·朱加什维利",""
"Евгений Трубецкой","叶夫根尼·特鲁别茨柯伊",""
"Евгений Косминский","叶夫根尼·科斯明斯基",""
"Елена Дендеберова","叶连娜·坚杰别罗娃",""
