"russian","chinese","gender"
"Михаил Старшинов","米哈伊尔·斯塔尔希诺夫",""
"Виктор Куликов","维克托·库利科夫",""
"Виктор Плисов","维克托·普利索夫",""
"Виктор Христенко","维克托·赫里斯坚科",""
"Виталий Юрченко","维塔利·尤尔钦科",""
"Виталий Сафронов","维塔利·萨夫罗诺夫",""
"Фридрих Карл Людвиг Шлезвиг-Гольштейн-Зондербург-Бекский","腓特烈·卡尔·路德维希",""
"Ахмед Догаев","艾哈迈德·多加耶夫",""
"Султан Ахмад-шах","艾哈迈德沙·卡扎尔",""
"Сулейман Керимов","苏莱曼·克里莫夫",""
"Номан Челебиджихан","诺曼·切莱比吉汗",""
"Сергей Ляпунов","谢尔盖·利亚普诺夫",""
"Анатолий Храпатый","阿纳托利·赫拉帕季",""
"Лу Андреас-Саломе","露·安德烈亚斯·莎乐美",""
"Максимилиан Лейхтенбергский","马克西米利安·德·博阿尔内",""
"Рудольф Гернштадт","鲁道夫·赫恩施塔特",""
"Борис Бугаев","鲍里斯·布加耶夫",""
"Джордж Паттон","乔治·巴顿",""
"Александр Боровский","亚历山大·博罗夫斯基",""
"Александр Васильев","亚历山大·尼古拉耶维奇·瓦西里耶夫 (政治人物)",""
"Александр Майоров","亚历山大·马约罗夫",""
"Янис Вагрис","亚尼斯·瓦格里斯",""
"Александр Петров","亚历山大·安德烈耶维奇·彼得罗夫",""
"Председатель Правительства Российской Федерации","俄罗斯总理",""
"Лев Руднев","列夫·鲁德涅夫",""
"Лео Каприви","列奥·冯·卡普里维",""
"Леонид Сандалов","列昂尼德·桑达洛夫",""
"Левон Тер-Петросян","列翁·捷尔-彼得罗相",""
"Гагарин (лунный кратер)","加加林环形山",""
"Гарри Уайт","哈里·迪克特·怀特",""
"Окума Сигэнобу","大隈重信",""
"Феминистское антивоенное сопротивление","女性主义反战抵抗",""
"Тимофей Сапронов","季莫费·萨普罗诺夫",""
"Юрий Борисов","尤里·伊万诺维奇·鲍里索夫",""
"Николай Рухадзе","尼古拉·鲁哈泽",""
"Шириншо Шотемур","希林绍·绍捷穆尔",""
"Павел Александров","帕维尔·亚历山德罗夫",""
"Павел Котов-Легоньков","帕维尔·科托夫-列贡科夫",""
"Дмитрий Марьянов","德米特里·马里亚诺夫",""
"Лариса Тутова","拉里莎·图托娃",""
"Новое политическое мышление","新思维 (苏联)",""
"Гэлэгдоржийн Дэмид","格勒格道尔吉·德米德",""
"Мочить в сортире","淹死在马桶里",""
"Мария Захарова","玛丽亚·扎哈罗娃",""
"Василий Захаров","瓦西里·扎哈罗夫",""
"3-я ударная армия","突击第3集团军",""
"Симфония № 2 (Скрябин)","第2号交响曲 (斯克里亚宾)",""
"Михаил Трепашкин","米哈伊尔·特列帕什金",""
"Михаил Хруничев","米哈伊尔·赫鲁尼切夫",""
"Микаил Абдуллаев","米哈伊尔·阿卜杜拉耶夫",""
"София Губайдулина","索菲娅·古拜杜林娜",""
"Наталья Садова","纳塔利娅·萨多娃",""
"Виктор Пепеляев","维克托·佩佩利亚耶夫",""
"Виктор Власов","维克托·弗拉索夫",""
"Виктор Толоконский","维克托·托洛孔斯基",""
"Виталий Федорчук","维塔利·费多尔丘克",""
"Роза Чемерис","萝扎·切梅里斯",""
"Сергей Аганов","谢尔盖·阿加诺夫",""
"Светлана Ходченкова","赛佛兰娜·科契柯娃",""
"Каспийская флотилия ВМФ России","里海区舰队",""
"Ануарбек Алимжанов","阿努阿尔别克·阿利姆扎诺夫",""
"Абдували Муминов","阿卜杜瓦利·穆米诺夫",""
"Авель Енукидзе","阿维尔·耶努吉泽",""
"Макс Альперт","马克斯·阿尔别特",""
"Борис Пуго","鲍里斯·普戈",""
"Саммит Россия — США в Хельсинки (2018)","2018年美俄峰会",""
"Александр Егоров","亚历山大·叶戈罗夫",""
"Александр Засядько","亚历山大·扎夏季科",""
"Александр Гречанинов","亚历山大·格列恰尼诺夫",""
"Илья Эренбург","伊利亚·爱伦堡",""
"Алексей Александрович","俄罗斯的阿列克谢·亚历山德罗维奇大公",""
"Кристиан Костов","克里斯蒂安·科斯托夫",""
"Список наград Брежнева","列昂尼德·勃列日涅夫所获奖项列表",""
"Харитон Лаптев","哈里顿·拉普捷夫",""
"Операция «Кольцо» (1991)","圆环行动",""
"Татьяна Миткова","塔季扬娜·米特科娃",""
"Андрей Черкасов","安德烈·切尔卡索夫",""
"Андрей Хрулёв","安德烈·赫鲁廖夫",""
"Юрий Тавровский","尤里·塔夫罗夫斯基",""
"Юрий Орлов","尤里·奥尔洛夫",""
"Юлий Шокальский","尤里·米哈伊洛维奇·绍卡利斯基",""
"Николай Танаев","尼古拉·塔纳耶夫",""
"Николай Родионов","尼古拉·罗季奥诺夫",""
"Никита Румянцев","尼基塔·鲁缅采夫",""
"Павел Аксельрод","帕维尔·阿克雪里罗得",""
"Владимир Иванов","弗拉基米尔·德米特里耶维奇·伊万诺夫",""
"Владимир Жириновский","弗拉基米尔·日里诺夫斯基",""
"Пётр Семёнов-Тян-Шанский","彼得·谢苗诺夫-天山斯基",""
"Дмитрий Торбинский","德米特里·托尔宾斯基",""
"Дмитрий Волкогонов","德米特里·沃尔科戈诺夫",""
"Станислав Мокроновский","斯坦尼斯瓦夫·莫克罗诺夫斯基",""
"Светлана Максимова","斯韦特兰娜·马克西莫娃",""
"Демьян Бедный","杰米扬·别德内",""
"Геннадий Селезнёв","根纳季·谢列兹尼奥夫",""
"Георгий Зарубин","格奥尔基·扎鲁宾",""
"Полина Кудерметова","波利娜·库德梅托娃",""
"Балтийский флот ВМФ Российской Федерации","波罗的海舰队",""
"Ненасильственное сопротивление гражданского населения Украины в ходе вторжения России","乌克兰在俄罗斯占领区的抗议活动",""
"Мария Ульянова","玛丽亚·亚历山德罗芙娜·乌里扬诺娃",""
"Валерий Кубасов","瓦列里·库巴索夫",""
"Михаил Кирпонос","米哈伊尔·基尔波诺斯",""
"Софья Алексеевна","索菲娅·阿列克谢耶芙娜",""
"Ахмаджан Одилов","艾哈迈德江·奥迪洛夫",""
"Московский городской совет","莫斯科苏维埃",""
"Сергей Терещенко","谢尔盖·捷列先科",""
"Алексей Лебедь","阿列克谢·列别德",""
"Абдурахман Авторханов","阿卜杜拉赫曼·阿夫托尔汉诺夫",""
"Абсамат Масалиев","阿布萨马特·马萨利耶夫",""
"Анатолий Лядов","阿纳托利·利亚多夫",""
"Анатолий Благонравов","阿纳托利·布拉贡拉沃夫",""
"Марсель Розенберг","马塞尔·罗森伯格",""
"Акт провозглашения независимости Украины","乌克兰独立宣言",""
"Си Цзиньпин","习近平",""
"Александр Гомельский","亚历山大·戈梅尔斯基",""
"Александр Невзоров","亚历山大·涅夫佐罗夫",""
"Александр Несмеянов","亚历山大·涅斯梅亚诺夫",""
"Александр Дубчек","亚历山大·杜布切克",""
"Иван Плющ","伊万·普柳希",""
"Иван Джавахишвили","伊万·贾瓦希什维利",""
"Ильяс Абдуллаев","伊利亚斯·阿卜杜拉耶夫",""
"Список послов России и СССР в Китае","俄罗斯驻华大使列表",""
"Лев Меньшиков","列夫·尼古拉耶维奇·缅希科夫",""
"Беловежские соглашения","别洛韦日协议",""
"Кирилл Москаленко","基里尔·莫斯卡连科",""
"Талгат Мусабаев","塔尔加特·穆萨巴耶夫",""
"Алексей Костусев","奥莱克西·科斯图谢夫",""
"Андрей Макаров","安德烈·米哈伊洛维奇·马卡罗夫",""
"Юрий Прокофьев","尤里·普罗科菲耶夫",""
"Николай Берзарин","尼古拉·别尔扎林",""
"Леонард Переломов","嵇辽拉",""
"Владимир Яковлев","弗拉基米尔·尼古拉耶维奇·雅科夫列夫",""
"Владимир Правик","弗拉基米尔·普拉维克",""
"Станислав Гуренко","斯坦尼斯拉夫·古连科",""
"Минтимер Шаймиев","明季梅尔·沙伊米耶夫",""
"Платон Керженцев","普拉东·克尔任采夫",""
"Восток-1","东方一号",""
"Геннадий Турмов","根纳季·图尔莫夫",""
"Григорий Тхор","格里戈里·特霍尔",""
"Ганс Коппи","汉斯·科皮",""
"Марина Зуева","玛丽娜·祖耶娃",""
"Валерий Кастельский","瓦列里·卡斯捷利斯基",""
"Валерий Салов","瓦列里·萨洛夫",""
"Валерий Афанасьев","瓦列里·阿法纳西耶夫",""
"Василий Сергиенко","瓦西里·尼古拉耶维奇·谢尔吉延科",""
"Василий Суриков","瓦西里·苏里科夫",""
"Коста Хетагуров","科斯塔·赫塔古罗夫",""
"Михаил Булатов","米哈伊尔·布拉托夫",""
"Вильхо Ненонен","维尔霍·彼得·内诺宁",""
"Виктор Голубев","维克托·戈卢别夫",""
"Сергей Никольский","谢尔盖·尼科尔斯基",""
"Раиса Дементьева","赖莎·杰缅季耶娃",""
"События января 1991 года в Риге","路障事件",""
"Алексей Саврасов","阿列克谢·孔德拉季耶维奇·萨伏拉索夫",""
"Абды Суеркулов","阿卜迪·苏耶尔库洛夫",""
"Архип Люлька","阿尔希普·留里卡",""
"Альберт I (король Бельгии)","阿尔贝一世 (比利时)",""
"Анатолий Белоглазов","阿纳托利·别洛格拉佐夫",""
"Протестное движение в России (2011—2013)","2011年—2013年俄罗斯示威",""
"Александр Черепнин","亚历山大·齐尔品",""
"Александр I","亚历山大一世 (俄罗斯)",""
"Александр Алиев","亚历山大·阿利耶夫",""
"Иван Шкадов","伊万·什卡多夫",""
"Иван Пожарский","伊万·波扎尔斯基",""
"Антивоенный комитет России","俄罗斯反战委员会",""
"Клаус Фукс","克劳斯·富克斯",""
"Комкор","军级指挥员",""
"Леонид Корниец","列昂尼德·科尔尼耶茨",""
"Халима Насырова","哈莉玛·诺西罗娃",""
"Давид Ойстрах","大卫·奥伊斯特拉赫",""
"Олег Ковалёв","奥列格·伊万诺维奇·科瓦廖夫",""
"Пётр Фридрих Георг Ольденбургский","奥尔登堡的格奥尔格公爵",""
"Динияр Билялетдинов","季尼亚尔·比利亚列特季诺夫",""
"День космонавтики","宇航日",""
"Антон Гетта","安东·格塔",""
"Андрей Ковтун-Станкевич","安德烈·伊格纳季耶维奇·科夫通-斯坦科维奇",""
"Андрей Звягинцев","安德烈·兹维亚金采夫",""
"Юрий Дроздов","尤里·德罗兹多夫",""
"Николай Пегов","尼古拉·别哥夫",""
"Николай Басов","尼古拉·巴索夫",""
"Николай Гулаев","尼古拉·库拉耶夫",""
"Николай Сутягин","尼古拉·苏特亚金",""
"Павел Милюков","帕维尔·米留科夫",""
"Владимир Ляхов","弗拉基米尔·利亚霍夫",""
"Владимир Голубев","弗拉基米尔·戈卢别夫",""
"Владимир Самокиш","弗拉基米尔·萨莫基什",""
"Владимир Селивёрстов","弗拉基米尔·谢利维奥尔斯托夫",""
"Франц II","弗朗茨二世 (神圣罗马帝国)",""
"Всеволод Кочетов","弗谢沃洛德·柯切托夫",""
"Дмитрий Скриванов","德米特里·斯克里瓦诺夫",""
"Геннадий Богомяков","根纳季·博戈米亚科夫",""
"Георгий Сафаров","格奥尔基·萨法罗夫",""
"Георгий Ульянов","格奥尔基·乌里扬诺夫",""
"2011) Фауст (фильм","浮士德 (2011年电影)",""
"Мария Каменева","玛丽亚·卡梅涅娃",""
"Муртаза Рахимов","穆尔塔扎·拉希莫夫",""
"Михаил Шатров","米哈伊尔·沙特罗夫",""
"Михаил Евдокимов","米哈伊尔·谢尔盖耶维奇·叶夫多基莫夫",""
"Надир Ибрагимов","纳迪尔·巴巴·奥格雷·伊巴基莫夫",""
"Виктор Чукарин","维克托·丘卡林",""
"Роман Зобнин","罗曼·佐布宁",""
"Ахрик Цвейба","艾赫利克·茨维巴",""
"Анатолий Концевой","阿纳托利·孔采沃伊",""
"Александр Зелин","亚历山大·泽林",""
"Александр Винников","亚历山大·温尼科夫",""
"Иван Капитонов","伊万·卡皮托诺夫",""
"Иван Кузнецов","伊万·尼古拉耶维奇·库兹涅佐夫",""
"Зима в огне","凛冬烈火：乌克兰为自由而战",""
"Сэйити Кацумата","胜间田清一",""
"Карл I (король Вюртемберга)","卡尔一世 (符腾堡)",""
"Гульназ Губайдуллина","古莉娜兹·古拜杜尔丽娜",""
"Дорофей (кот)","多罗菲",""
"Олег Ефремов","奥列格·叶夫列莫夫",""
"Олег Блохин","奥列格·布洛欣",""
"Вильгельм II (император Германии)","威廉二世 (德国)",""
"Анна Ахматова","安娜·阿赫玛托娃",""
"Андрей Хотеев","安德烈·赫德夫",""
"Николай Антипов","尼古拉·安季波夫",""
"Николай Андрианов","尼古拉·安德里亚诺夫",""
"Павел Грудинин","帕维尔·格鲁季宁",""
"Владимир Плякин","弗拉基米尔·普利亚金",""
"Владимир Горб","弗拉基米尔·戈尔布",""
"Пётр Румянцев-Задунайский","彼得·鲁缅采夫",""
"Дмитрий Овсянников","德米特里·奥夫相尼科夫",""
"Дмитрий Хорват","德米特里·霍尔瓦特",""
"Юрий Растворов","拉斯托波罗夫案",""
"Рада Аджубей","拉达·赫鲁晓娃",""
"Геннадий Манаков","根纳季·马纳科夫",""
"Л. Пантелеев","班台莱耶夫",""
"Михаил Кутузов","米哈伊尔·库图佐夫",""
"Виктор Беленко","维克多·别连科",""
"Виктория Никишина","维多利亚·尼基钦娜",""
"Роман Шишкин","罗曼·希什金",""
"Щелкунчик","胡桃夹子 (芭蕾舞剧)",""
"Солтан Узденов","苏丹·乌兹杰诺夫",""
"Филипп Голиков","菲利普·戈利科夫",""
"Роза Тамаркина","萝扎·塔马尔金娜",""
"Сергей Кузовлев","谢尔盖·库佐夫列夫",""
"Сергей Малов","谢尔盖·叶菲莫维奇·马洛夫",""
"Серикболсын Абдильдин","谢里克博尔森·阿布季尔金",""
"Чо Сон Чжин","赵成珍",""
"Людвиг I (король Баварии)","路德维希一世 (巴伐利亚)",""
"Алексей Козлов","阿列克谢·科兹洛夫",""
"Алексей Мачавариани","阿列克谢·马恰瓦里阿尼",""
"Абрам Иоффе","阿布拉姆·约费",""
"Анатолий Вассерман","阿纳托利·瓦谢尔曼",""
"Анатолий Аксаков","阿纳托利·阿克萨科夫",""
"Алиса Тищенко","阿莉萨·季先科",""
"Береговая батарея № 35","马克西姆·高尔基炮台",""
"Рудольф Баршай","鲁道夫·巴尔沙伊",""
"Борис Анненков","鲍里斯·安年科夫",""
"Даниил Шафран","丹尼尔·夏弗朗",""
"Александр Черепанов","亚历山大·切列帕诺夫",""
"Александр Дроздов","亚历山大·德罗兹多夫",""
"Воля народа (депутатская группа)","人民意志 (议会党团)",""
"Игорь Дьяконов","伊戈尔·季亚科诺夫",""
"Леонид Петровский","列昂尼德·彼得罗夫斯基",""
"2014) Левиафан (фильм","利维坦 (2014年电影)",""
"Национальная республиканская армия (Россия)","国民共和军 (俄罗斯)",""
"Межгосударственный авиационный комитет","国际航空委员会",""
"Талгат Нигматулин","塔勒嘎特·尼格马图林",""
"Олег Антонов","奥列格·康斯坦丁诺维奇·安东诺夫",""
"Улзийтийн Бадрах","奥勒扎·巴德拉克",""
"Ольга Ульянова","奥莉加·伊里尼奇娜·乌里扬诺娃",""
"Фердинанд Карл Австрийский (1868—1915)","奥地利的斐迪南·卡尔",""
"Ольга Скороходова","奥莉加·斯科罗霍多娃",""
"Антанас Венцлова","安塔纳斯·文茨洛瓦",""
"Андрей Белов","安德烈·别洛夫",""
"Андрей Кокошин","安德烈·科科申",""
"Андрей Алёхин","安德烈·阿廖欣",""
"Юрий Галенович","尤里·加列诺维奇",""
"Юрий Пономарёв","尤里·阿纳托利耶维奇·波诺马廖夫",""
"Николай Беляев","尼古拉·别利亚耶夫",""
"Николай Бобриков","尼古拉·博布里科夫",""
"Николай Голицын","尼古拉·戈利岑",""
"Константин Лавроненко","康斯坦丁·拉朗尼柯",""
"Владимир Раевский","弗拉基米尔·阿布拉莫维奇·拉耶夫斯基",""
"Токтогул Сатылганов","托克托古尔·萨特尔甘诺夫",""
"Ласкарина Бубулина","拉斯卡里娜· 布布莉娜",""
"Моисей Урицкий","摩西·乌里茨基",""
"Георгий Козлов","格奥尔基·科兹洛夫",""
"Сангаджи Тарбаев","桑加吉·塔尔巴耶夫",""
"Василий Зимин","瓦西里·瓦西里耶维奇·济明",""
"Валентин Сапронов","瓦连京·萨普罗诺夫",""
"Валентин Бондаренко","瓦连京·邦达连科",""
"4-й Николай Максимилианович","第四代洛伊希滕贝格公爵尼古拉·马克西米连诺维奇",""
"Михаил Гречуха","米哈伊尔·格列丘哈",""
"Михаил Викторов","米哈伊尔·维克托罗夫",""
"Вячеслав Бражник","维亚切斯拉夫·斯捷潘诺维奇·布拉日尼克",""
"Иосиф Уншлихт","约瑟夫·温什利希特",""
"Витаутас Ландсбергис","维陶塔斯·兰茨贝吉斯",""
"Сергей Ястржембский","谢尔盖·亚斯特任布斯基",""
"Сергей Крамаренко","谢尔盖·克拉马连科",""
"Сергей Кривоносов","谢尔盖·克里沃诺索夫",""
"Федот Тумусов","费多特·图穆索夫",""
"Алексей Брусилов","阿列克谢·布鲁西洛夫",""
"МакSим","马克欣",""
"Мадина Таймазова","马季娜·泰马佐娃",""
"Борис Комоцкий","鲍里斯·科莫茨基",""
"Александр Качанов","亚历山大·卡恰诺夫",""
"Александр Горкин","亚历山大·戈尔金",""
"Ильяс Умаханов","伊利亚斯·乌马哈诺夫",""
"Сенатский дворец","克里姆林宫元老院",""
"Нуртас Ундасынов","努尔塔斯·温达瑟诺夫",""
"Карл Леопольд Мекленбург-Шверинский","卡尔·利奥波德 (梅克伦堡-施威林)",""
"Евгений Смоленцев","叶夫根尼·斯莫连采夫",""
"Казахстан","哈萨克斯坦",""
"Индулис Эмсис","因杜利斯·埃姆西斯",""
"Татьяна Алексеева","塔季扬娜·彼得罗芙娜·阿列克谢耶娃",""
"Татьяна Заславская","塔季扬娜·扎斯拉夫斯卡娅",""
"Татьяна Ларионова","塔季扬娜·拉里奥诺娃",""
"Олег Митяев","奥列格·格里戈里耶维奇·米佳耶夫",""
"Ольга Ануфриева","奥莉加·阿努夫里耶娃",""
"Андрей Бубнов","安德烈·布勃诺夫",""
"Андрей Билецкий","安德里·比列茨基",""
"Антон Елизаров","安东·叶利扎罗夫",""
"Юрий Левитан","尤里·列维坦",""
"Николай Расторгуев","尼古拉·拉斯托尔古耶夫",""
"Николай Фомин","尼古拉·福明",""
"Николай Соболев","尼古拉·索博列夫",""
"Николай Щорс","尼古拉·肖尔斯",""
"Николай Новичков","尼古拉·诺维奇科夫",""
"Павел Мамаев","帕维尔·马马耶夫",""
"Рамиль Ибатуллин","拉米尔·伊巴图林",""
"Мурат Насыров","木拉提·纳斯洛夫",""
"Владислав Андерс","瓦迪斯瓦夫·安德斯",""
"Вячеслав Малафеев","维亚切斯拉夫·马拉费耶夫",""
"Виктор Бондарев","维克托·邦达列夫",""
"Виктор Козин","维克托尔·科津",""
"Сергей Тимирёв","谢尔盖·尼古拉耶维奇·季米洛夫",""
"Семён Кривошеин","谢苗·克里沃申",""
"Сергей Голубицкий","谢尔盖·戈卢比茨基",""
"Зиновий Пешков","贝志高",""
"Дарья Васькина","达里娅·瓦西金娜",""
"Навандоржийн Жадамба","那班道尔吉·扎丹巴",""
"Алексей Епишев","阿列克谢·叶皮谢夫",""
"Алексей Буриличев","阿列克谢·布里利切夫",""
"Алексей Ватченко","阿列克谢·瓦琴科",""
"Алексей Ремизов","阿列克谢·米哈伊诺维奇·列米佐夫",""
"Аркадий Шевченко","阿尔卡季·舍甫琴科",""
"Альфред Виндишгрец","阿尔弗雷德 (温迪施格雷茨亲王)",""
"Арсений Семёнов","阿尔谢尼·谢苗诺夫",""
"Анастасия Князева","阿纳斯塔西娅·克尼亚泽娃",""
"Партия жуликов и воров","骗子与小偷党",""
"Борис Акунин","鲍里斯·阿库宁",""
"Руслан Цаликов","鲁斯兰·察利科夫",""
"Семибанкирщина","七大银行寡头",""
"Денис Майданов","丹尼斯·迈达诺夫",""
"Александр Довженко","亚历山大·多夫任科",""
"Александра Гончарова","亚历山德拉·贡恰洛娃",""
"Ефим Геллер","叶菲姆·盖勒",""
"Эльдар Рязанов","埃尔达尔·梁赞诺夫",""
"Олег Леонов","奥列格·尤里耶维奇·列昂诺夫",""
"Олег Скрипочка","奥列格·斯克里波奇卡",""
"Олег Матыцин","奥列格·马特钦",""
"Ан Гир","安吉 (1907年)",""
"Андрей Дикий","安德烈·季基",""
"Андрей Григорьев","安德烈·格里戈里耶夫",""
"Юлия Долгорукова","尤利娅·多尔戈鲁科娃",""
"Юрий Березуцкий","尤里·别列祖茨基",""
"Николай Семёнов","尼古拉·谢苗诺夫",""
"Расстрел царской семьи","尼古拉二世灭门案",""
"Карл Баварский (1795)","巴伐利亚的卡尔·特奥多尔 (1795-1875)",""
"Павел Леонов","帕维尔·阿尔乔莫维奇·列昂诺夫",""
"Флюра Аббате-Булатова","弗柳拉·阿巴特-布拉托娃",""
"Пётр Марченко","彼得·马尔琴科",""
"Лариса Савченко-Нейланд","拉里莎·尼兰",""
"Степан Погосян","斯捷潘·波戈相",""
"Джамбул Джабаев","江布尔·扎巴耶夫",""
"Шавкат Аюпов","沙夫卡特·阿尤波夫",""
"Украинские партизаны в период российско-украинской войны","乌克兰在俄罗斯占领区的反抗运动",""
"Валентина Гунина","瓦莲京娜·古尼娜",""
"Василий Скопенко","瓦西里·斯科彭科",""
"Харольд Александер","第一代突尼斯的亚历山大伯爵哈罗德·亚历山大",""
"Михай Гимпу","米哈伊·金普",""
"Михаил Кузмин","米哈伊尔·阿列克谢耶维奇·库兹明",""
"Михаил Врубель","米哈伊尔·弗鲁贝尔",""
"Виталий Буяновский","维塔利·布亚诺夫斯基",""
"Иосиф Шкловский","约瑟夫·什克洛夫斯基",""
"Вячеслав Муханов","维亚切斯拉夫·穆哈诺夫",""
"Ромас Каланта","罗马斯·卡兰塔",""
"Леонид Тараненко","莱昂尼德·塔拉年科",""
"Екатерина Макарова","叶卡捷琳娜·马卡洛娃",""
"Жан Моро","让·维克托·马里·莫罗",""
"Сергей Толстов","谢尔盖·托尔斯托夫",""
"Дарья Дугина","达里娅·杜金娜",""
"Алексей Ермолов","阿列克谢·彼得罗维奇·叶尔莫洛夫",""
"Арво Пярт","阿福·佩尔特",""
"Анатолий Геккер","阿纳托利·格克尔",""
"Анатолий Выборный","阿纳托利·维博尔内",""
"Адольф Тайми","阿道夫·泰米",""
"Марк Ракита","马克·拉基塔",""
"Борис Головец","鲍里斯·戈洛韦茨",""
"Александр Арутюнян","亚历山大·阿鲁秋年",""
"Кристина Пименова","克里斯蒂娜·皮缅诺娃",""
"Лев Измайлов","列夫·瓦西列维奇·伊斯梅洛夫",""
"Кароль Руммель","卡罗尔·鲁梅尔",""
"Евгений Онегин (опера)","叶甫盖尼·奥涅金 (歌剧)",""
"Олег Рахманин","奥列格·拉赫马宁",""
"Олег Шенин","奥列格·舍宁",""
"Вильгельм Цайссер","威廉·蔡塞尔",""
"Анна Кузнецова","安娜·库兹涅佐娃",""
"Юрий Седых","尤里·谢德赫",""
"Юрий Рубэн","尤里·鲁本",""
"Николай Устрялов","尼古拉·乌斯特里亚洛夫",""
"Бадма Башанкаев","巴德马·巴尚卡耶夫",""
"Павел Лазаренко","帕夫洛·拉扎连科",""
"Владимир Шаманов","弗拉基米尔·沙马诺夫",""
"Владимир Тендряков","弗拉基米尔·田德里亚科夫",""
"Дмитрий Хубезов","德米特里·胡别佐夫",""
"Станислав Гомозков","斯坦尼斯拉夫·戈莫兹科夫",""
"Станислав Косиор","斯坦尼斯拉夫·科西奥尔",""
"Светлана Герасименко","斯维特拉娜·格拉希门克",""
"Президентство Владимира Путина (с 2000)","普京统治下的俄罗斯",""
"Государственный музей изобразительных искусств имени А. С. Пушкина","普希金造型艺术博物馆",""
"Любовь Орлова","柳博芙·奥尔洛娃",""
"Людмила Черных","柳德米拉·切尔尼赫",""
"Георгий Степанов","格奥尔基·安德烈耶维奇·斯捷潘诺夫",""
"Григорий Еремей","格里戈里·叶列梅",""
"Евгений Австрийский","欧根大公 (奥地利)",""
"Майя Плисецкая","玛雅·普利谢茨卡娅",""
"Вацлав Воровский","瓦茨拉夫·沃罗夫斯基",""
"Валентина Шевченко","瓦莲京娜·谢苗诺芙娜·舍夫琴科",""
"Василий Игнатенко","瓦西里·伊格纳坚科",""
"Василий Самарский-Быховец","瓦西里·萨马尔斯基-别克霍夫茨",""
"Валентин Пеньковский","瓦连京·佩尼科夫斯基",""
"30-я отдельная механизированная бригада","第30机械化旅 (乌克兰)",""
"Михаил Терентьев","米哈伊尔·捷连季耶夫",""
"Михаил Корниенко","米哈伊尔·科尔尼延科",""
"Нарендра Моди","纳伦德拉·莫迪",""
"Вячеслав Лебедев","维亚切斯拉夫·米哈伊洛维奇·列别杰夫",""
"Виктор Черкесов","维克托·切尔克索夫",""
"Виталий Милонов","维塔利·米洛诺夫",""
"Сухан Бабаев","苏汉·巴巴耶夫",""
"Центральная контрольная комиссия КПСС","苏联共产党中央监察委员会",""
"Лидия Лопухова","莉迪亚·乐甫歌娃",""
"Сабир Камалов","萨比尔·卡马洛夫",""
"Сергей Ковалёв","谢尔盖·阿达莫维奇·科瓦廖夫",""
"Ким Ён Бок","金英福",""
"Алексей Бестужев-Рюмин","阿列克谢·别斯图热夫-留明",""
"Аркадий Ротенберг","阿尔卡季·罗滕贝格",""
"Вероника Власова","韦罗妮卡·弗拉索娃",""
"Эрдни-Басан Омбадыков","额尔德尼-巴桑·奥姆巴迪科夫",""
"Всесоюзный референдум о сохранении СССР","1991年苏联公投",""
"Митинг и концерт в Лужниках 22 февраля 2023 года","2023年莫斯科集会",""
"Даниил Страхов","丹尼尔·斯特拉霍夫",""
"Александр Свечин","亚历山大·斯韦钦",""
"I съезд народных депутатов (2022)","人民代表大会 (俄罗斯)",""
"Чеченская Республика Ичкерия","伊奇克里亚车臣共和国",""
"Начальник Генерального штаба Вооружённых сил Российской Федерации","俄罗斯联邦武装力量总参谋长",""
"Екатерина Григорьева","凯特·格列哥耶娃",""
"Лев Тимофеев","列夫·米哈伊洛维奇·季莫费耶夫",""
"Леонид Серебряков","列昂尼德·谢列布里亚科夫",""
"Набережные Челны","卡马河畔切尔内",""
"Екатерина Фурцева","叶卡捷琳娜·福尔采娃",""
"Сян Чжунфа","向忠发",""
"Кирилл Мазуров","基里尔·马祖罗夫",""
"Татьяна Цыбизова","塔季扬娜·齐比佐娃",""
"Юрий Бондарев","尤里·邦达列夫",""
"Николай Пирогов","尼古拉·伊万诺维奇·皮罗戈夫",""
"Николай Кондратьев","尼古拉·康德拉季耶夫",""
"Владимир Ильюшин","弗拉基米尔·伊留申",""
"Владимир Вапник","弗拉基米尔·瓦普尼克",""
"Вениамин (Казанский)","彼得格勒的韦尼阿明",""
"Абрам Деборин","德波林",""
"Дмитрий Гладкий","德米特里·格拉德基",""
"Рахманкул Курбанов","拉赫曼库尔·库尔班诺夫",""
"Степан Петриченко","斯捷潘·彼得里琴科",""
"Огонёк","星火 (俄文杂志)",""
"Отто Браун","李德 (1900年)",""
"Геннадий Воронов","根纳季·沃罗诺夫",""
"Георгий Пятаков","格奥尔基·皮达可夫",""
"Георгий Гречко","格奥尔基·格列奇科",""
"Мета Янголенко-Ваннас","梅塔·万纳斯",""
"Шахмардан Есенов","沙赫马尔丹·叶谢诺夫",""
"Полина Дашкова","波莉娜·达许可娃",""
"Василий Соловьёв-Седой","瓦西里·索洛维约夫-谢多伊",""
"Михаил Чистяков","米哈伊尔·尼古拉耶维奇·奇斯佳科夫",""
"Мирра Сахновская","米拉·萨赫诺夫斯卡娅",""
"Хусэ Макэ","胡塞·马凯",""
"Садриддин Айни","萨德里丁·阿伊尼",""
"Фёдор Бондарчук","费奥多尔·邦达尔丘克",""
"Христиан Раковский","赫里斯季安·拉科夫斯基",""
"Людвиг IX (ландграф Гессен-Дармштадтский)","路德维希九世",""
"Луи Каравак","路易·卡拉瓦克",""
